在 zai4 在 zai
他 ta1 他 ta/hoka
三 san1 三 san
吃 chi1 吃 chii
元 yuan2 元 yuan/gen/moto
爱 ai4 愛 ai/mana
打 da3 打 da
使 shi3 使 shi
万 wan4 萬 wan
该 gai1 該 gai
头 tou2 頭 tou/koube/atama/gashira
十 shi2 十 shii/juu
难 nan2 難 nan
部 bu4 部 bu/be
男 nan2 男 nan/otoko
市 shi4 市 shi/ichi
师 shi1 師 shi
南 nan2 南 nan/minami
诗 shi1 詩 shi
代 dai4 代 dai/shiro
民 min2 民 min/tami
茶 cha2 茶 cha
苦 ku3 苦 ku
牌 pai2 牌 pai/hai
史 shi3 史 shi
氏 shi4 氏 shi/uji
沙 sha1 沙 sha
士 shi4 士 shi
案 an4 案 an
素 su4 素 su/so
投 tou2 投 tou
叹 tan4 嘆 tan
视 shi4 視 shi
泰 tai4 泰 tai
负 fu4 負 fu
府 fu3 府 fu
妇 fu4 婦 fu
态 tai4 態 tai
刊 kan1 刊 kan
胎 tai1 胎 tai
痴 chi1 痴 chi
贪 tan1 貪 tan
赋 fu4 賦 fu
符 fu2 符 fu
纱 sha1 紗 sha
仕 shi4 仕 shi
寇 kou4 寇 kou
痰 tan2 痰 tan
鬓 bin4 鬢 bin
腑 fu3 腑 fu
勘 kan1 勘 kan
麸 fu1 麩 fu
便 bian4 便 bin/ben
水 shui3 水 sui/mizu
快 kuai4 快 kai
段 duan4 段 dan
首 shou3 首 shu/kashira/kubi
山 shan1 山 san/yama
算 suan4 算 san
明 ming2 明 min/mei/myou/saya
式 shi4 式 shiki
汤 tang1 湯 tan/yu
酸 suan1 酸 san
识 shi2 識 shiki
斩 zhan3 斬 zan
有 you3 有 yuu/u
大 da4 大 dai/oo
四 si4 四 shi/suu
死 si3 死 shi
第 di4 第 dai
因 yin1 因 in
副 fu4 副 fuku
口 kou3 口 ku/kuchi
马 ma3 馬 uma
根 gen1 根 ne/kon
福 fu2 福 fuku
印 yin4 印 in/shirushi
幅 fu2 幅 fuku/haba/no
服 fu2 服 fuku/buku
运 yun4 運 un
阴 yin1 陰 in/kage
索 suo3 索 soo/saku
酷 ku4 酷 koku
私 si1 私 shi/asshi/atashi/watashi/wai
优 you1 優 yuu/yasa
饮 yin3 飲 in
淫 yin2 淫 in
尹 yin3 尹 in
槌 chui2 槌 tsuchi
闰 run4 閏 uruu
铊 ta1 鉈 nata
长 zhang3 長 naga/osa/chou
少 shao3 少 shou
神 shen2 神 shin/kami/kamu
朝 chao2 朝 chou/asa
超 chao1 超 chou
室 shi4 室 shitsu/muro
陈 chen2 陳 chin
失 shi1 失 shitsu
刷 shua1 刷 satsu
钢 gang1 鋼 hagane
苗 miao2 苗 myao/nae
糠 kang1 糠 nuka
一 yi1 一 ii/ichi/itchi/hito
要 yao4 要 you/kaname
再 zai4 再 sai
走 zou3 走 sou
才 cai2 才 sai
所 suo3 所 sho/tokoro
道 dao4 道 dou/michi
分 fen1 分 fun/bun/bu
书 shu1 書 sho
五 wu3 五 uu/go
花 hua1 花 hana
门 men2 門 mon
外 wai4 外 gai/soto
