貌: 豸 皃
舷: 舟 玄
椅: 木 奇
哀: 衣 亠 口
愛: 心 爪 冖 夂
悪: 心 亜
握: 扌 屋
圧: 厂 土
扱: 扌 及
安: 宀 女
暗: 音 日
案: 安 木
以: 丶 人
位: 亻 立
依: 亻 衣
偉: 亻 韋
囲: 井 口
委: 禾 女
威: 女 戌
尉: 尸 示 寸 #is3
意: 音 心
慰: 尉 心
易: 日 勿
異: 田 井
移: 禾 多
維: 糸 隹
緯: 糸 韋
胃: 田 月
違: ⻌ 韋
遺: ⻌ 貴
医: 匸 矢
域: 土 或
育: 𠫓 肉
壱: 匕 士 冖
逸: ⻌ 免
稲: 禾 日
芋: 艹 于
員: 貝 口
因: 口 大
姻: 女 因
引: 弓 丨
飲: 飠 欠
院: ⻖ 完
隠: ⻖ 㥯
韻: 音 員
宇: 扌 于
渦: 氵 咼
浦: 氵 甫
運: ⻌ 軍
雲: 雨 云
営: 呂 ⺍ 冖
影: 景 彡
映: 日 央
栄: 木 ⺍ 冖
永: 水 丶
泳: 氵 永
英: 央 艹
衛: 行 韋
詠: 訁 永
鋭: 釒 兑
液: 氵 夜
疫: 疒 殳
益: 皿 ハ
駅: 馬 尺
悦: 忄 兑
謁: 訁 日 匂
越: 走 戉
閲: 門 兑
園: 口 袁
宴: 宀 妟
延: 廴 正
援: 扌 爰
演: 氵 寅
炎: 火 #double
煙: 火 垔
猿: 犭 袁
縁: 糸 豕
遠: ⻌ 袁
鉛: 釒 㕣
塩: 土 皿
汚: 氵 亐
奥: 米 大
往: 彳 主
応: 广 心
押: 扌 甲
横: 木 黄
欧: 区 欠
殴: 区 殳
翁: 公 羽
沖: 氵 中
億: 亻 意
屋: 尸 至
憶: 忄 意
卸: 𦈢 卩
恩: 心 因
温: 氵 昷
穏: 禾 㥯
音: 立 日
化: 亻 匕
仮: 亻 反
何: 亻 可
価: 亻 西
佳: 亻 圭
加: 力 口
夏: 夂 頁
嫁: 女 家
家: 宀 豕
寡: 宀 頁 刀
科: 禾 斗
暇: 日 叚
果: 田 木
架: 加 木
歌: 可 欠
河: 氵 可
禍: 礻 咼
稼: 禾 家
箇: ⺮ 固
花: 艹 化
荷: 艹 何
華: 艹
菓: 艹 果
課: 訁 果
貨: 化 貝
過: ⻌ 咼
蚊: 虫 文
我: 手 戈
画: 凵 田
芽: 艹 牙
賀: 加 貝
雅: 牙 隹
餓: 飠 我
解: 角 刀 牛
回: 口
塊: 土 鬼
壊: 土 十 罒 衣
快: 忄 夬
怪: 忄 圣
悔: 忄 毎
懐: 忄 十 罒 衣
戒: 廾 戈
拐: 扌 刀 口
改: 己 攵
械: 木 戒
海: 氵 毎
灰: 厂 火
界: 田 介
皆: 比 白
絵: 糸 会
開: 門 开
階: 皆
劾: 亥 力
外: 夕 卜
害: 宀 口 丰
慨: 忄 既
概: 木 既
涯: 氵 厂 圭
街: 行 圭
該: 訁 亥
垣: 土 亘
嚇: 口 赤
各: 夂 口
拡: 扌 広
格: 木 各
核: 木 亥
殻: 壳 殳
獲: 犬 蒦
確: 石 隹
穫: 禾 蒦
覚: 見
較: 車 交
郭: 享 ⻏
閣: 門 各
隔: ⻖ 鬲
学: 子
岳: 丘 山
楽: 木 白
額: 客 頁
掛: 扌 圭 卜
潟: 氵 舄
割: 害 刂
喝: 口 日 匂
括: 扌 舌
活: 氵 舌
渇: 氵 日 匂
滑: 氵 骨
褐: 衤 日 匂
轄: 車 害
株: 木 朱
刈: 㐅 刂
乾: 車 乞
冠: 元 寸
刊: 干 刂
勘: 甚 力
勧: 隹 力
巻: 己
喚: 口 奐
堪: 土 甚
完: 宀 元
官: 宀 㠯
寛: 宀 莧
莧: 艹 見
干: #is0
幹: 車 干
患: 心 串
感: 咸 心
慣: 忄 貫
憾: 忄 感
換: 扌 奐
棺: 木 官
款: 士 示 欠
歓: 隹 欠
汗: 氵 干
漢: 氵 𦰩
環: 王 睘
甘: #is0
監: 皿 臣
看: 手 目
管: ⺮ 官
簡: ⺮ 間
緩: 糸 爰
缶: #is0
肝: 肉 干
艦: 舟 監
観: 隹 見
貫: 毋 貝
還: ⻌ 睘
鑑: 釒 監
間: 門 日
閑: 門 木
関: 門 关
陥: ⻖ ⺈ 旧
館: 飠 官
丸: 丶 九
含: 今 口
岸: 厂 厈
厈: 山 干
眼: 目 艮
岩: 石 山
頑: 元 頁
顔: 彦 頁
願: 原 頁
企: 人 止
