亜 sub- a "亜鉛 - aen - zinc (Zn)
東亜 - toua - East Asia, the Orient
亜熱帯 - anettai - subtropics" 0
宛 allocate a "宛先 - atesaki - address, destination
宛名 - atena - (addressee's) name, (recipient's) name and address" 1
挨 "push open" ai "挨拶 - aisatsu - greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody; polite set phrase used to express apology, sympathy, congratulations, etc." 2
愛 love ai "可愛い - kawaii - cute, adorable, charming, lovely, pretty; dear, precious, darling, pet
恋愛 - ren'ai - love, love-making, passion, emotion, affections
愛する - aisuru - to love" 3
曖 "not clear" ai "曖昧 - aimai - vague, ambiguous, unclear; fuzzy" 4
案 plan an "提案 - teian - proposal, proposition, suggestion
案内 - annai - guidance, leading (the way), showing around; information, notice, notification
案外 - angai - unexpectedly, surprisingly; unexpected, unanticipated, unforeseen, surprising" 5
嵐 storm arashi "砂嵐 - sunaarashi - sandstorm; noise (video), snow
青嵐 - aoarashi - wind blowing through fresh verdure; mountain air
磁気嵐 - jikiarashi - magnetic storm" 6
圧 pressure atsu "圧力 - atsuryoku - pressure, stress; pressure (e.g. political), coercion, arm-twisting
圧倒的 - attouteki - overwhelming
電圧 - den'atsu - voltage" 7
扱 handle atsuka "扱い - atsukai - treatment, service
扱う - atsukau - to deal with (a person), to treat, to handle, to take care of, to entertain; to deal with (a problem), to handle, to manage
取り扱い - toriatsukai - treatment, service, handling, management" 8
婆 "old woman" ba "老婆 - rouba - old woman
娑婆 - shaba - this world, this life; the free world (outside of prison, the army, red light district, etc.)
婆さん - baasan - grandmother; old woman, female senior citizen" 9
倍 double bai "倍増 - baizou - double
倍率 - bairitsu - magnification, leverage, amplification, scaling factor, scale factor; acceptance rate, pass rate (of an exam, etc.)
人一倍 - hitoichibai - (much) more than others, exceedingly, extremely, unusually" 10
陪 obeisance bai "陪審 - baishin - jury
陪席 - baiseki - sitting with one's superior, in attendance" 11
媒 mediator bai "媒体 - baitai - medium, media
媒介 - baikai - intermediary
触媒 - shokubai - catalyst" 12
賠 compensation bai "賠償 - baishou - compensation, reparations, indemnity, damages" 13
漠 vague baku "砂漠 - sabaku - desert
サハラ砂漠 - saharasabaku - Sahara Desert
茫漠 - boubaku - boundless, vast, vague, obscure" 14
爆 explode baku "爆発 - bakuhatsu - explosion, detonation, eruption; eruption (of discontent, etc.), outburst, outpouring
被爆 - hibaku - being bombed; being A-bombed, being nuked, being exposed to radiation (from an atomic blast)
爆弾 - bakudan - bomb; alcohol with liquor added (esp. wine-based shochu highball, also beer with whiskey)" 15
晩 nightfall ban "昨晩 - sakuban - last night
毎晩 - maiban - every night
晩年 - bannen - one's later years, final years (in life)" 16
番 "one's turn" ban "一番 - ichiban - number one, first, first place; best, most
番組 - bangumi - program (e.g. TV), programme
番号 - bangou - number, series of digits" 17
蛮 barbarian ban "野蛮 - yaban - savage, barbarous, barbaric, uncivilized, uncivilised
南蛮 - nanban - exotic (esp. Western European or South-East Asian style); (in dance, puppetry, etc.) thrusting the right foot and right arm forward at the same time (or left foot and left arm)
蛮行 - bankou - act of barbarity, brutality, barbarism" 18
盤 tray ban "基盤 - kiban - foundation, basis, base, footing, infrastructure; bedrock
中盤 - chuuban - middle (stage)
終盤 - shuuban - endgame, final stage" 19
伐 fell batsu "討伐 - toubatsu - subjugation (using military force), suppression, subduing
伐採 - bassai - felling timber, cutting down trees, logging, lumbering
間伐 - kanbatsu - periodic thinning (e.g. forest)" 20
閥 clique batsu "派閥 - habatsu - clique, faction
財閥 - zaibatsu - zaibatsu, financial conglomerate, industrial group
学閥 - gakubatsu - alma mater clique, old school tie" 21
弁 valve ben "弁当 - bentou - bento
弁護士 - bengoshi - lawyer, attorney
勘弁 - kanben - pardon, forgiveness, forbearance" 22
勉 exertion ben "勉強 - benkyou - study; diligence
勤勉 - kinben - diligent, industrious
勉学 - bengaku - study, pursuit of knowledge" 23
微 delicate bi "微妙 - bimyou - subtle, delicate, fine; difficult, complex, tricky, delicate (situation, position, etc.), close (e.g. decision)
微か - kasuka - faint, dim, weak, slight, vague, indistinct, hazy; poor, wretched, meagre, meager, scanty
微量 - biryou - minuscule amount, extremely small quantity" 24
敏 cleverness bin "敏感 - binkan - sensitive, alert, aware, susceptible
過敏 - kabin - nervousness, oversensitivity
鋭敏 - eibin - sharp, keen, acute" 25
瓶 "flower pot" bin "瓶詰め - binzume - bottling, bottled
花瓶 - kabin - (flower) vase
小瓶 - kobin - small bottle" 26
簿 register bo "名簿 - meibo - register of names, list of names, roll, register, roster
簿記 - boki - journalization (accounts), journalisation, bookkeeping
帳簿 - choubo - account book, register, ledger" 27
朴 crude boku "素朴 - soboku - simple, artless, naive, unsophisticated
朴訥 - bokutotsu - unsophisticated, ruggedly honest, artless, unaffected, simple, naive" 28
睦 harmonious boku "親睦 - shinboku - friendship, amity
和睦 - waboku - reconciliation, peace, rapprochement" 29
僕 me boku "僕ら - bokura - we
僕たち - bokutachi - we
下僕 - geboku - manservant" 30
撲 slap boku "相撲 - sumou - sumo wrestling
大相撲 - oozumou - professional sumo wrestling
撲滅 - bokumetsu - eradication, extermination, destruction, suppression" 31
凡 mediocre bon "平凡 - heibon - ordinary, common, commonplace, mediocre, unremarkable, undistinguished, uneventful
凡人 - bonjin - ordinary person, average person, mediocre person
凡庸 - bon'you - mediocre, ordinary, commonplace, banal" 32
盆 basin bon "お盆 - obon - O-Bon, Bon Festival, Lantern Festival, Festival of the Dead; tray
盆踊り - bon'odori - Bon Festival dance, Lantern Festival dance
盆地 - bonchi - basin (e.g. between mountains)" 33
没 drown botsu "没頭 - bottou - immersing oneself in, being absorbed in, devoting oneself to, giving oneself up entirely to
沈没 - chinbotsu - sinking, foundering, going down, submersion; getting dead drunk
水没 - suibotsu - submerge" 34
勃 rise botsu "勃起 - bokki - erection (usu. penis), standing erect, stiffening
勃発 - boppatsu - outbreak (e.g. of war), outburst, sudden occurrence
勃興 - bokkou - sudden rise to power, sudden rise in prosperity" 35
坊 boy bou "坊主 - bouzu - Buddhist priest, bonze; close-cropped hair, crew cut, person with a shorn head
赤ん坊 - akanbou - baby, infant
寝坊 - nebou - sleeping in late, oversleeping; late riser, sleepyhead" 36
肪 obese bou "脂肪 - shibou - fat, grease, blubber, lard, suet
脂肪酸 - shibousan - fatty acid
皮下脂肪 - hikashibou - subcutaneous fat" 37
某 so-and-so bou "某所 - bousho - certain place
某氏 - boushi - a certain person, unnamed person, Mr. So-and-so, a certain someone who shall remain unnamed
某社 - bousha - certain company, unnamed company" 38
剖 divide bou "解剖 - kaibou - dissection, autopsy; analysis" 39
帽 cap bou "帽子 - boushi - hat, cap
脱帽 - datsubou - removing one's hat; admiring someone greatly, ""taking off one's hat"" to someone
麦わら帽子 - mugiwaraboushi - straw hat" 40
棒 rod bou "相棒 - aibou - partner, pal, accomplice
泥棒 - dorobou - thief, burglar, robber; theft, burglary, robbery
綿棒 - menbou - cotton swab" 41
貿 trade bou "貿易 - boueki - trade (foreign)" 42
貌 appearance bou "変貌 - henbou - transfiguration, transformation, change of appearance
全貌 - zenbou - whole story, full picture, full particulars
風貌 - fuubou - looks, appearance" 43
部 part bu "部分 - bubun - portion, section, part
部屋 - heya - room, chamber; apartment, flat, pad
一部 - ichibu - one part, one portion, one section, some; one copy (e.g. of a document)" 44
秒 "second (part of time)" byou "毎秒 - maibyou - every second
秒読み - byouyomi - countdown
秒速 - byousoku - per second" 45
嫡 "legitimate wife" chaku "嫡子 - chakushi - legitimate child
嫡出 - chakushutsu - legitimate birth" 46
痴 stupid chi "愚痴 - guchi - idle complaint, grumble; moha (ignorance, folly)
音痴 - onchi - tone-deafness, amusia, having no ear for music; tone-deaf, off-key
痴漢 - chikan - masher, molester, pervert" 47
稚 immature chi "幼稚園 - youchien - kindergarten
稚拙 - chisetsu - unskillful, childish, immature, naive, artless, clumsy, crude
幼稚 - youchi - infancy; childish, infantile, immature, primitive" 48
緻 "fine (not coarse)" chi "緻密 - chimitsu - minute, fine, delicate, accurate, precise, elaborate
精緻 - seichi - delicate, minute, subtle
巧緻 - kouchi - elaborate, exquisite, detailed" 49
畜 livestock chiku "家畜 - kachiku - domestic animals, livestock, cattle
畜産 - chikusan - animal husbandry, livestock industry
鬼畜 - kichiku - brute, savage, fiend" 50
逐 pursue chiku "駆逐 - kuchiku - extermination, expulsion, destruction
逐一 - chikuichi - one by one, in detail, minutely
逐次 - chikuji - successively, one after another, sequentially" 51
朕 "majestic plural" chin  52
陳 exhibit chin "陳列 - chinretsu - exhibition, display, putting on show
新陳代謝 - shinchintaisha - renewal, replacement, regeneration, rejuvenation; metabolism
陳腐 - chinpu - stale, hackneyed, cliched" 53
賃 fare chin "賃金 - chingin - wages; cash payment of rent
賃貸 - chintai - lease, rent, hire
家賃 - yachin - rent" 54
秩 regularity chitsu "秩序 - chitsujo - order, discipline, regularity, system, method
無秩序 - muchitsujo - disorder, chaos, confusion" 55
窒 "plug up" chitsu "窒素 - chisso - nitrogen (N)
窒息 - chissoku - suffocation, choking, asphyxia" 56
貯 savings cho "貯金 - chokin - putting money aside, savings, deposit (e.g. in a bank); accumulated surplus of wins, wins in the bank
貯蓄 - chochiku - savings
貯蔵 - chozou - storage, preservation" 57
勅 "imperial order" choku "勅使 - chokushi - imperial envoy, imperial messenger
勅撰 - chokusen - compilation for the emperor, emperor's literary production" 58
捗 "make progress" choku "進捗 - shinchoku - progress, being under way
捗る - hakadoru - to make progress, to move right ahead (with the work), to advance" 59
庁 "government office" chou "省庁 - shouchou - ministries and government offices, the authorities
警視庁 - keishichou - Metropolitan Police Department (esp. Tokyo)
県庁 - kenchou - prefectural office" 60
帳 "account book" chou "手帳 - techou - notebook, memo pad, (pocket) diary
通帳 - tsuuchou - passbook, bankbook
蚊帳 - kaya - mosquito net" 61
腸 intestines chou "大腸 - daichou - large intestine, large bowel, colon
胃腸 - ichou - stomach and intestines, gastrointestinal tract, digestive organs
浣腸 - kanchou - (giving an) enema" 62
徴 indications chou "特徴 - tokuchou - feature, trait, characteristic, peculiarity, distinction
象徴 - shouchou - (abstract) symbol, emblem, representation
徴収 - choushuu - collection (of fees, taxes, etc.), levy" 63
宙 mid-air chuu "宇宙 - uchuu - universe, cosmos, space
宇宙船 - uchuusen - spaceship
小宇宙 - shouuchuu - microcosmos, microcosm" 64
忠 loyalty chuu "忠実 - chuujitsu - faithful, devoted, loyal, honest, true
忠誠 - chuusei - loyalty, sincerity, allegiance, fidelity, integrity
忠告 - chuukoku - advice, warning" 65
抽 pluck chuu "抽象 - chuushou - abstraction
抽選 - chuusen - lottery, raffle, drawing (of lots)
抽出 - chuushutsu - extraction, abstraction; selection (from a group), sampling" 66
衷 inmost chuu "折衷 - setchuu - compromise, cross, blending, eclecticism
和洋折衷 - wayousetchuu - blending of Japanese and Western styles
衷心 - chuushin - innermost feelings" 67
酎 sake chuu "焼酎 - shouchuu - shochu" 68
駐 stop-over chuu "駐車 - chuusha - parking (e.g. car)
駐在 - chuuzai - residence, stay, (job) posting, being stationed (overseas, etc.)
常駐 - jouchuu - permanent stationing, staying permanently; resident (program, file, etc.)" 69
妥 gentle da "妥当 - datou - valid, proper, right, appropriate, reasonable
妥協 - dakyou - compromise, giving in" 70
堕 degenerate da "堕落 - daraku - depravity, corruption, degradation
堕胎 - datai - abortion, feticide
自堕落 - jidaraku - self-indulgent, undisciplined, slovenly, debauched, negligent" 71
惰 lazy da "怠惰 - taida - lazy, idle, indolent, slothful
惰性 - dasei - inertia; force of habit
惰眠 - damin - indolence, inactivity" 72
駄 burdensome da "無駄 - muda - futility, waste, uselessness, pointlessness, idleness
駄目 - dame - no good, not serving its purpose, useless, broken; hopeless, wasted, in vain, purposeless
無駄遣い - mudazukai - waste (of money, time, etc.), squandering, frittering away" 73
第 "ordinal number prefix" dai "次第 - shidai - depending on; as soon as, immediately (upon)
次第に - shidaini - gradually (progress into a state); in sequence, in order, in turn
第三者 - daisansha - third party, third person, outsider, disinterested person" 74
題 topic dai "問題 - mondai - question (e.g. on a test), problem; problem (e.g. societal, political), question, issue, subject (e.g. of research), case, matter
話題 - wadai - topic, subject
課題 - kadai - subject, theme, issue, matter; homework, assignment" 75
諾 consent daku "承諾 - shoudaku - consent, approval, acceptance, agreement, compliance
許諾 - kyodaku - consent
快諾 - kaidaku - ready consent" 76
団 group dan "団体 - dantai - organization, organisation, association
集団 - shuudan - group, mass
布団 - futon - futon; round cushion used for Zen meditation (traditionally made of woven bulrush leaves)" 77
段 steps dan "普段 - fudan - usual, normal, everyday, habitual, ordinary; usually, normally, generally, habitually, always
値段 - nedan - price, cost
段階 - dankai - grade, level, stage, class, phase, steps, order, gradation" 78
談 discuss dan "相談 - soudan - consultation, discussion, discussing, asking (somebody) for advice
冗談 - joudan - jest, joke, funny story
余談 - yodan - digression, sequel (of a story)" 79
壇 podium dan "俳壇 - haidan - the world of the haiku
登壇 - toudan - taking the podium, mounting the rostrum, going on stage to give a speech, etc.
花壇 - kadan - flower bed" 80
誰 "who (question word)" dare "誰か - dareka - someone, somebody
誰々 - daredare - so-and-so; who?, which people?
誰彼 - darekare - this or that person, anybody, many people" 81
電 electricity den "電話 - denwa - telephone call, phone call
電車 - densha - train, electric train
電源 - dengen - source of electricity, electrical power; power (button on TV, etc.)" 82
奴 guy do "奴隷 - dorei - slave, servant; slavery
奴ら - yatsura - they, those guys
冷奴 - hiyayakko - cold tofu" 83
毒 poison doku "中毒 - chuudoku - poisoning; addiction
気の毒 - kinodoku - pitiful, unfortunate, poor, miserable, wretched; unpardonable, regrettable
消毒 - shoudoku - disinfection, sterilization, sterilisation" 84
丼 "bowl of food" donburi "天丼 - tendon - tempura served over a bowl of rice; (in comedy) repeating the same gag or silly line
うな丼 - unadon - bowl of eel and rice (donburi)" 85
胴 trunk dou "胴体 - doutai - body, trunk, torso, hull (boat), fuselage (aircraft)
胴上げ - douage - lifting a person high (in celebration), tossing someone into the air, carrying someone on shoulders
胴元 - doumoto - bookmaker (in gambling), manager" 86
堂 "public chamber" dou "堂々 - doudou - magnificent, grand, impressive, dignified, majestic, imposing, stately; fair, square, open, unashamed, brazen
食堂 - shokudou - dining room, dining hall, cafeteria, messroom; restaurant, eatery, snack bar, diner
講堂 - koudou - auditorium, lecture hall" 87
銅 copper dou "銅像 - douzou - bronze statue
銅メダル - doumedaru - bronze medal
青銅 - seidou - bronze" 88
英 england ei "英語 - eigo - English (language)
英国 - eikoku - Great Britain, the United Kingdom
英文 - eibun - English writing, English sentence, English text" 89
衛 defense ei "防衛 - bouei - defense, defence, protection
自衛隊 - jieitai - self-defence force, self-defense force; Japan Self-Defence Force, JSDF
衛生 - eisei - hygiene, sanitation, health" 90
疫 epidemic eki "免疫 - men'eki - immunity, immunization, immunisation; being hardened (to), being unaffected (by), being accustomed (to)
疫学 - ekigaku - epidemiology, the study of epidemics
検疫 - ken'eki - quarantine, medical inspection" 91
益 benefit eki "利益 - rieki - profit, gains; benefit, advantage, interest (of the public, etc.)
収益 - shuueki - earnings, proceeds, returns, revenue
有益 - yuueki - beneficial, profitable, useful, helpful, instructive" 92
液 fluid eki "血液 - ketsueki - blood
液晶 - ekishou - liquid crystal
液体 - ekitai - liquid" 93
駅 station eki "駅前 - ekimae - in front of a station
最寄り駅 - moyorieki - nearest station
駅員 - ekiin - (train) station attendant, station employee, station staff" 94
宴 banquet en "宴会 - enkai - party, banquet, reception, feast, dinner
披露宴 - hirouen - reception (e.g. wedding), banquet, celebration, party
饗宴 - kyouen - feast, banquet" 95
媛 princess en "才媛 - saien - literary woman, talented woman" 96
援 aid en "支援 - shien - support, backing, aid, assistance
応援 - ouen - aid, assistance, help, reinforcement, rooting, barracking, support, cheering
援助 - enjo - assistance, aid, support" 97
演 perform en "演奏 - ensou - musical performance
出演 - shutsuen - performance, appearance (in a stage, film, TV show, etc.)
演出 - enshutsu - production (e.g. play), direction" 98
悦 ecstasy etsu "満悦 - man'etsu - great delight, rapture
悦楽 - etsuraku - enjoyment, pleasure
愉悦 - yuetsu - joy, pleasure, delight" 99
謁 audience etsu "謁見 - ekken - audience (with a superior, e.g. nobility)
拝謁 - haietsu - having an audience with someone of very high social standing (e.g. the emperor)" 100
閲 review etsu "閲覧 - etsuran - inspection, reading, perusal; browsing (the web)
検閲 - ken'etsu - censorship, inspection, examination
閲読 - etsudoku - reading, perusal" 101
扶 aid fu "扶助 - fujo - aid, help, assistance, support
扶養 - fuyou - support (e.g. of one's dependents), maintenance
食い扶持 - kuibuchi - cost of one's food" 102
府 "urban prefecture" fu "政府 - seifu - government, administration
都道府県 - todoufuken - administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures
幕府 - bakufu - bakufu, shogunate" 103
阜 mound fu "岐阜 - gifu - Gifu (city)" 104
附 affixed fu  105
訃 obituary fu "訃報 - fuhou - news of a person's death, obituary" 106
婦 lady fu "夫婦 - fuufu - married couple, husband and wife, man and wife; his and hers
主婦 - shufu - housewife, mistress (of the house), homemaker
婦人 - fujin - woman, lady, adult female" 107
符 token fu "切符 - kippu - ticket
音符 - onpu - musical note, note symbol; phonetic symbol (incl. the kanji and kana-doubling symbols, vowel-lengthening symbol, etc.)
符号 - fugou - sign, mark, symbol, code; sign (e.g. positive, negative)" 108
普 universal fu "普通 - futsuu - general, ordinary, usual; normally, generally, usually
普段 - fudan - usual, normal, everyday, habitual, ordinary; usually, normally, generally, habitually, always
普及 - fukyuu - diffusion, spread, popularization, promulgation, familiarization" 109
膚 skin fu "皮膚 - hifu - skin
完膚 - kanpu - unwounded skin" 110
賦 levy fu "割賦 - kappu - allotment, quota, payment in installments, payment in instalments, hire-purchase
天賦 - tenpu - natural (e.g. talent), innate, inborn, inherent
賦活 - fukatsu - activation, invigoration, stimulation" 111
譜 "musical score" fu "楽譜 - gakufu - score, sheet music
年譜 - nenpu - chronological record
新譜 - shinpu - newly-released music, new release (CD, album, etc.); new score, new composition" 112
服 clothes fuku "洋服 - youfuku - Western-style clothes (cf. traditional Japanese clothes)
服装 - fukusou - garments, attire
