丶,丸刃凡犬太丹方以永広主庁丼氷帆汎伏応狂似住序床状汰忍芳坊妨防良泳往拡述注底的店府放房肪夜疫狭施狩食柱度約郎恐庫座疾酌症席庭唐疲病倣紡娘旅朗浪液康痕鹿執術庶旋族釣訪麻庸詠就粧然痩痛渡痘廃傍遊痢廊献鉱傲嫉勢痴廉旗獄遮塾駄認腐瘍稽摯熟駐熱敷摩黙養獲激獣薦糖燃磨療癖癒類蹴麗麓魔
九,丸尻究枠軌砕染粋執酔勢雑塾摯熟熱
ノ,及少扱吸劣沙抄妙歩級砂省秒旅渉
乃,及扱吸秀級透携誘
𠄎,及扱吸秀級透携誘
丿,及介乏失白必扱羽吸血向朱成宅伐百我戒君作寿秀弟伯易的迭拍泊迫泌阜沸物茂威界皆級皇昨乗城帥泉耐追卑風翁株鬼郡原耕栽師殊珠扇託秩透秘耗域械釈羞習宿剰盛戚舶密翌嵐階幾減詐裁酢衆場湯番費揚陽惑塊楷楽感義群携源歳載搾傷誠戦腺賊腸鉄滅魂需端閥碑蜜綿誘瘍餓畿儀戯賜審線蔵鋳魅諧憾機錦激儒薬犠醜縮繊戴濯翼織職藩翻曜願識臓議籍魔躍
𠂉,乞午矢生気年毎医汽姓性青知侮悔海侯施星牲候疾称梅敏旅乾許産情清族隆喉晴短復無遊嫉痴腹疑精静複権請舞履凝醒繁擬矯覧覆臨
乙,乞旅乾
刀,刃切分召辺初忍拐券招沼契昭窃盆粉紛留紹貧喫詔超雰貿解照頒寡認瑠潔
亠,亡文玄市衣交忙妄坑抗対忘依劾京弦効刻姉盲夜哀柿荒郊亭帝畝蚊核校航高衰畜衷紋液舷率袋停望涼景慌絞裁就喪装斑傍裂該較蓄裏豪製嫡摘滴適網影憬稿締敵褒壊懐骸諦擁鯨蹴襲
𠃊,亡世忙妄忘盲県荒望慌葉網懸
几,凡冗処机肌帆汎坑抗投没役殴拠股疫段飢恐航殺般殻設毀殿搬穀撃盤鍛
弓,引弔弟弦沸弥弧弱強第張弾費湾溺窮
丨,引介弔出他在色地池串弟把屈拙肥沸界施耐候馬患掘鹿堀悠費暇窟駅駆需駄端駒駐罵儒篤騎験騒艶麗麓騰驚
