















丸,丶九

及,ノ乃𠄎丿





乞,𠂉乙









刃,丶刀






亡,亠𠃊
凡,几丶


引,弓丨


化,亻匕
火,八人

介,人丿丨
刈,㐅刂

凶,凵㐅

区,匸乂


犬,大丶
元,二儿
幻,幺𠃌
戸,一尸
五,二
互,一二彑
午,𠂉十
公,八厶
勾,勹厶
孔,子乚
今,亼人一乛
支,十又


尺,尸

収,丩又
升,十廾
少,ノ小
冗,冖几

仁,亻二

井,二
切,刀七
双,又
太,大丶
丹,丶冂

弔,弓丨

天,一大


内,冂人
匂,勹匕

反,厂又

匹,匚儿

夫,二人

仏,亻厶
分,八刀
文,亠乂

方,丶万
乏,丿之


厄,厂㔾
友,𠂇又
予,龴亅

圧,厂土
以,丶人
右,𠂇口
永,水丶
凹,凵

加,力口
可,丁口

外,夕卜

刊,干刂

丘,一斤
旧,日
去,厶土

玉,王
句,勹口
兄,儿口
穴,宀八
玄,亠幺
古,十口
功,力工
巧,工丂
広,厶广丶厂
甲,田｜
号,口丂
込,⻌入
左,𠂇工

札,木乚

仕,亻士
史,口
司,口
四,儿囗
市,亠巾
矢,𠂉大
示,二小

失,大丿夫二人
写,冖与
主,丶王
囚,人囗
汁,氵十
出,凵丨
処,夂几
召,刀口
尻,尸九

世,廿𠃊
正,一止
生,𠂉土
斥,斤

仙,亻山
占,⺊口
他,亻也乜丨
打,扌丁
代,亻弋
台,厶口
旦,日一
庁,广丶厂丁

奴,女又
冬,夂⺀
凸,凵
丼,井二丶
尼,尸匕
白,丿日
半,十
氾,氵㔾
犯,犭㔾

必,心丿
氷,水丶
付,亻寸
布,𠂇巾
払,扌厶
丙,一内冂人
平,干丷
辺,辶刀
弁,厶廾

包,勹己
北,丬匕
本,木一
末,木
未,木
民,氏


由,十囗
幼,幺力


令,亼人一卩
礼,礻乚
扱,扌及ノ乃𠄎丿
安,宀女
衣,亠𧘇
芋,艹于丁一
印,卩
因,口大
宇,扌于丁一
羽,习𠃌丿
汚,氵亐
仮,亻反厂又
回,口
灰,厂火八人
会,人云二厶
各,夂口
汗,氵干

企,人止
伎,亻支十又
危,厃⺈厂㔾
机,木几
気,气𠂉一⺄㐅
吉,士口
休,亻木
吸,口及ノ乃𠄎丿
朽,木丂

共,龷八
叫,口丩
仰,亻卬
曲,曰囗一
刑,开一廾刂
血,丿皿
件,亻牛
交,亠父
光,⺌兀一儿
向,口丿冋冂
后,口
好,女子
江,氵工
考,耂丂
行,彳亍一丁
合,亼人一口
再,一冉冂土
在,𠂇丨土
旨,日匕
死,歹一夕匕
糸,幺小
至,一厶土
字,子宀
寺,土寸
次,冫欠


式,工弋
芝,艹之
守,宀寸
朱,丿未木
州,巛𡿨

充,𠫓儿
旬,日勹
巡,⻌巛𡿨
如,女口
匠,斤匚
色,巴巳丨勹
尽,尺尸⺀
迅,⻌卂⺄十
成,戊丿戈弋𠃌

舌,千口
先,⺧儿
全,入王
壮,丬士
早,日十
争,⺈⺕亅
存,子𠂇
多,夕
宅,宀乇丿七
団,囗寸
地,土也乜丨
池,氵也乜丨

