一,one,"一 (いち): one
一番 (いちばん): number one
一つ (ひとつ): one
一緒 (いっしょ): together
一般 (いっぱん): general"
乙,latter,
九,nine,"九 (きゅう): nine
九州 (きゅうしゅう): Kyushu (southernmost of the four main islands of Japan)"
七,seven,七 (しち): seven
十,ten,"十 (じゅう): ten
十分 (じゅうぶん): enough
不十分 (ふじゅうぶん): insufficient"
人,person,"人 (じん): -ian (e.g. Italian)
人間 (にんげん): human being
個人 (こじん): individual
日本人 (にほんじん): Japanese person
人々 (ひとびと): each person"
丁,ward,"丁寧 (ていねい): polite
丁度 (ちょうど): exactly
丁目 (ちょうめ): district of a town
包丁 (ほうちょう): kitchen knife"
刀,sword,刀 (かたな): (single-edged) sword
二,two,"二 (に): two
二つ (ふたつ): two
二度と (にどと): never again
二月 (にがつ): February"
入,enter,"購入 (こうにゅう): purchase
入り (いり): entering
入る (いる): to get in
入力 (にゅうりょく): input
入れる (いれる): to put in"
八,eight,八 (はち): eight
又,again,"又 (また): again
又は (または): or"
了,finish,"終了 (しゅうりょう): end
完了 (かんりょう): completion
了承 (りょうしょう): acknowledgement
了 (りょう): finish
了解 (りょうかい): comprehension"
力,power,"力 (ちから): force
入力 (にゅうりょく): input
能力 (のうりょく): ability
協力 (きょうりょく): cooperation
魅力 (みりょく): charm"
下,below,"下 (した): below
以下 (いか): not exceeding
下さい (ください): please give me
下記 (かき): the following
低下 (ていか): fall"
干,dry,若干 (じゃっかん): some
丸,circle,"丸 (まる): circle
丸い (まるい): round"
久,long time,"久しぶり (ひさしぶり): a long time (since the last time)
久々 (ひさびさ): (in a) long time
耐久 (たいきゅう): endurance
永久 (えいきゅう): eternity"
及,reach out,"及び (および): and
普及 (ふきゅう): diffusion
言及 (げんきゅう): reference
及ぶ (およぶ): to reach
及ぼす (およぼす): to exert"
弓,bow,弓 (ゆみ): bow (weapon)
巾,towel,
己,self,"自己 (じこ): self
己 (おのれ): I"
口,mouth,"口 (くち): mouth
人口 (じんこう): population
口座 (こうざ): account (e.g. bank)
窓口 (まどぐち): ticket window
出口 (でぐち): exit"
工,craft,"工場 (こうじょう): factory
工事 (こうじ): construction work
工夫 (くふう): scheme
加工 (かこう): manufacturing
人工 (じんこう): artificial"
乞,beg,
才,genius,"才能 (さいのう): talent
天才 (てんさい): genius
才 (さい): ability"
三,three,"三 (さん): three
三つ (みっつ): three
三角 (さんかく): triangle
第三者 (だいさんしゃ): third party"
山,mountain,"山 (やま): mountain
沢山 (たくさん): a lot
登山 (とざん): mountain climbing
富士山 (ふじさん): Mount Fuji
山形 (やまがた): mountain-shape"
士,gentleman,"同士 (どうし): fellow
博士 (はかせ): expert
弁護士 (べんごし): lawyer
富士山 (ふじさん): Mount Fuji
兵士 (へいし): soldier"
子,child,"子供 (こども): child
子 (こ): child
様子 (ようす): state
原子力 (げんしりょく): atomic energy
息子 (むすこ): son"
女,woman,"彼女 (かのじょ): she
女性 (じょせい): woman
女 (おんな): female
女の子 (おんなのこ): girl
女子 (じょし): woman"
小,small,"小さな (ちいさな): small
小さい (ちいさい): small
小 (しょう): smallness
小説 (しょうせつ): novel
小学校 (しょうがっこう): primary school"
上,up,"上 (うえ): above
以上 (いじょう): not less than
上げ (あげ): tuck (e.g. in a dress)
上記 (じょうき): above-mentioned
向上 (こうじょう): elevation"
丈,length,"大丈夫 (だいじょうぶ): safe
丈 (だけ): only
丈夫 (じょうぶ): healthy"
刃,blade,刃 (は): edge (of a knife or sword)
寸,measurement,寸前 (すんぜん): just before
夕,evening,"夕方 (ゆうがた): evening
夕食 (ゆうしょく): evening meal
夕飯 (ゆうはん): evening meal
夕 (ゆう): evening"
千,thousand,"千 (せん): 1,000
千葉 (ちば): Chiba (city)"
川,river,"川 (かわ): river
川柳 (せんりゅう): senryū
小川 (おがわ): stream
川崎 (かわさき): Kawasaki (city)"
大,large,"大 (おお): big
大きな (おおきな): big
大変 (たいへん): very
大学 (だいがく): university
大切 (たいせつ): important"
土,soil,"土地 (とち): plot of land
土 (つち): earth
土曜日 (どようび): Saturday
土産 (みやげ): present
土日 (どにち): weekend"
亡,deceased,死亡 (しぼう): death
凡,mediocre,
万,ten thousand,"万 (まん): 10,000
万が一 (まんがいち): if by any chance"
与,give,"与える (あたえる): to give (esp. to someone of lower status)
給与 (きゅうよ): pay
関与 (かんよ): participation
与党 (よとう): ruling party
付与 (ふよ): grant"
引,pull,"取引 (とりひき): transactions
引用 (いんよう): quotation
引き続き (ひきつづき): continuously
引っ越し (ひっこし): moving (dwelling, office, etc.)
割引 (わりびき): discount"
円,round,円 (えん): yen
王,king,"王 (おう): king
王子 (おうじ): prince
女王 (じょおう): queen
王国 (おうこく): kingdom"
化,change,"変化 (へんか): change
文化 (ぶんか): culture
進化 (しんか): evolution
強化 (きょうか): strengthening
化粧 (けしょう): make-up"
火,fire,"火 (ひ): fire
花火 (はなび): fireworks
火曜日 (かようび): Tuesday
火力 (かりょく): heating power
火災 (かさい): conflagration"
牙,tusk,
介,jammed in,"紹介 (しょうかい): introduction
介護 (かいご): nursing
介入 (かいにゅう): intervention
厄介 (やっかい): trouble"
刈,reap,
牛,cow,"牛 (うし): cattle (Bos taurus)
牛乳 (ぎゅうにゅう): (cow's) milk
牛肉 (ぎゅうにく): beef"
凶,villain,
斤,axe,
区,ward,"区 (く): ward
地区 (ちく): district
区別 (くべつ): distinction
区域 (くいき): limits
区画 (くかく): division"
欠,lack,"欠点 (けってん): fault
不可欠 (ふかけつ): indispensable"
月,month,"月 (つき): moon
ヶ月 (かげつ): months (period of)
今月 (こんげつ): this month
３月 (さんがつ): March
９月 (くがつ): September"
犬,dog,"犬 (いぬ): dog (Canis (lupus) familiaris)
愛犬 (あいけん): pet dog"
