"abiru","浴びる","to dash over oneself (e.g. water)"
"abunai","危ない","dangerous"
"abura","油","oil"
"abura","脂","fat"
"aete","敢えて","purposely (of something needless, unexpected or seemingly counterproductive, etc.)"
"age","上げ","tuck (e.g. in a dress)"
"age","揚げ","frying"
"ageku","挙句","in the end (after a long process)"
"ago","顎","chin"
"ai","愛","love"
"aida","間","space (between)"
"aijou","愛情","love"
"aikawarazu","相変わらず","as ever"
"aiken","愛犬","pet dog"
"aimai","曖昧","vague"
"aisatsu","挨拶","greeting"
"aisuru","愛する","to love"
"aite","相手","companion"
"aji","味","flavor"
"aka","赤","red"
"akachan","赤ちゃん","baby"
"akai","赤い","red"
"akaji","赤字","(being in) the red"
"aki","秋","autumn"
"aki","飽き","weariness"
"akiraka","明らか","obvious"
"akka","悪化","(suffer) deterioration"
"akogare","憧れ","yearning"
"aku","悪","evil"
"akueikyou","悪影響","bad influence"
"akuma","悪魔","devil"
"akushu","握手","handshake"
"amae","甘え","lack of self-reliance"
"amai","甘い","sweet-tasting"
"amari","余り","remainder"
"ame","雨","rain"
"ami","網","net"
"an","案","idea"
"an'i","安易","easy"
"ana","穴","hole"
"anata","貴方","you (referring to someone of equal or lower status)"
"anchan","兄ちゃん","(one's) older brother"
"ane","姉","older sister"
"angai","案外","unexpectedly"
"angou","暗号","code"
"ani","兄","elder brother"
"anka","安価","low-priced"
"anken","案件","matter (to discuss)"
"annai","案内","guidance"
"ansatsu","暗殺","assassination"
"anshin","安心","relief"
"antei","安定","stability"
"anzen","安全","safety"
"ao","青","blue"
"aoi","青い","blue"
"appaku","圧迫","pressure"
"arashi","嵐","storm"
"arasoi","争い","dispute"
"arata","新た","new"
"aratamete","改めて","another time"
"arau","洗う","to wash"
"are","彼","that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly)"
"are","荒れ","stormy weather"
"aruku","歩く","to walk"
"asa","麻","cannabis (Cannabis sativa)"
"asa","朝","morning"
"asai","浅い","shallow"
"ase","汗","sweat"
"aseri","焦り","impatience"
"ashi","足","foot"
"ashiato","足跡","footprints"
"ashimoto","足元","at one's feet"
"ashita","明日","tomorrow"
"asobi","遊び","playing"
"asobu","遊ぶ","to play"
"asshuku","圧縮","compression"
"ataeru","与える","to give (esp. to someone of lower status)"
"atai","値","price"
"ataisuru","値する","to be worth"
"atarashii","新しい","new"
"atari","辺り","on the bank of"
"atarimae","当たり前","natural"
"atatakai","暖かい","warm"
"ato","後","behind"
"ato","跡","trace"
"atsui","暑い","hot"
"atsui","熱い","hot (thing)"
"atsukai","扱い","treatment"
"atsukau","扱う","to deal with (a person)"
"atsumi","厚み","thickness"
"atsuryoku","圧力","pressure"
"attou","圧倒","to overwhelm (e.g. an opponent)"
"attouteki","圧倒的","overwhelming"
"awa","泡","bubble"
"ayamari","誤り","error"
"ayashii","怪しい","suspicious"
"aza","字","section of village"
"azayaka","鮮やか","vivid"
"ba","場","place"
"baai","場合","case"
"bai","倍","twice"
"baibai","売買","trade"
"baikyaku","売却","selling off"
"baishou","賠償","compensation"
"baishuu","買収","acquisition (esp. corporate)"
"baitai","媒体","medium"
"baka","馬鹿","fool"
"baken","馬券","(horse racing) betting ticket"
"bakudan","爆弾","bomb"
"bakuha","爆破","destructive blast"
"bakuhatsu","爆発","explosion"
"bakushou","爆笑","roar of laughter (from several people)"
"bamen","場面","scene"
"ban","晩","evening"
"ban","番","number (in a series)"
"ban","盤","disk"
"bangou","番号","number"
"bangumi","番組","program (e.g. TV)"
"banme","番目","indicates position in a sequence"
"bannen","晩年","one's later years"
"basho","場所","place"
"bassui","抜粋","extract"
"basutei","バス停","bus stop"
"batsugun","抜群","outstanding"
"beikoku","米国","America"
"ben","弁","speech"
"bengoshi","弁護士","lawyer"
"benkyou","勉強","study"
"benri","便利","convenient"
"bentou","弁当","bento"
"betsu","別","distinction"
"betsuni","別に","(not) particularly"
"bi","美","beauty"
"bijutsukan","美術館","art gallery"
"bimyou","微妙","subtle"
"bin","便","flight (e.g. airline flight)"
"bin","瓶","bottle"
"binbou","貧乏","poverty-stricken"
"binkan","敏感","sensitive"
"biyou","美容","beauty of figure or form"
"bokin","募金","fund-raising"
"boku","僕","I"
"bokura","僕ら","we"
"boshuu","募集","recruitment"
"bou","某","certain"
"bou","棒","pole"
"boudai","膨大","huge"
"bouei","防衛","defense"
"boueki","貿易","trade (foreign)"
"bougo","防護","protection"
"bougyo","防御","defense"
"bouken","冒険","adventure"
"bounenkai","忘年会","year-end party"
"bouryoku","暴力","violence"
"bousai","防災","prevention of damage resulting from a natural disaster"
"boushi","防止","prevention"
"boushi","帽子","hat"
"bousou","暴走","acting rashly"
"boutou","冒頭","beginning"
"bu","部","department (in an organization)"
"bubun","部分","portion"
"buji","無事","safety"
"buki","武器","weapon"
"bukken","物件","article"
"bukkyou","仏教","Buddhism"
"bumon","部門","division (of a larger group)"
"bun'ya","分野","field"
"bungei","文芸","literature"
"bunka","文化","culture"
"bunkatsu","分割","partition"
"bunken","文献","literature"
"bunko","文庫","library"
"bunmyaku","文脈","context"
"bunpitsu","分泌","secretion"
"bunretsu","分裂","split"
"bunri","分離","separation"
"bunrui","分類","classification"
"bunsan","分散","dispersion"
"bunseki","分析","analysis"
"bunshou","文章","writing"
"busho","部署","one's post"
"bushou","武将","military commander"
"busou","武装","arms"
"busshitsu","物質","material"
"buta","豚","pig (Sus scrofa domesticus)"
"butai","舞台","stage (theatre, theater)"
"butai","部隊","force"
"butaniku","豚肉","pork"
"byou","秒","second (unit of time)"
"byoudou","平等","equality"
"byouin","病院","hospital"
"byouki","病気","illness (usu. excluding minor ailments, e.g. colds)"
"byousha","描写","depiction"
"cha","茶","tea"
"chaku","着","counter for suits of clothing"
"chi","血","blood"
"chi","地","earth"
"chian","治安","public order"
"chiba","千葉","Chiba (city)"
"chichi","父","father"
"chichi","乳","milk"
"chichioya","父親","father"
"chie","知恵","wisdom"
"chien","遅延","delay"
"chigai","違い","difference"
"chigau","違う","to differ (from)"
"chiiki","地域","area"
"chiisai","小さい","small"
"chiisana","小さな","small"
"chijin","知人","friend"
"chikagoro","近頃","lately"
"chikai","近い","near"
"chikaku","近く","near"
"chikara","力","force"
"chikatetsu","地下鉄","underground train"
"chikoku","遅刻","lateness"
"chiku","地区","district"
"chikuseki","蓄積","accumulation"
"chikyuu","地球","Earth"
"chinamini","因みに","by the way"
"chingin","賃金","wages"
"chinmoku","沈黙","silence"
"chintai","賃貸","lease"
"chiryou","治療","medical treatment"
"chishiki","知識","knowledge"
"chitai","地帯","area"
"chiten","地点","site"
"chitsujo","秩序","order"
"chizu","地図","map"
"cho","著","work"
"chochiku","貯蓄","savings"
"chokin","貯金","putting money aside"
"chokkei","直径","diameter"
"chokugo","直後","immediately following"
"chokusetsu","直接","direct"
"chokuzen","直前","just before"
"chosaku","著作","writing"
"chosha","著者","author (usu. of a particular book)"
"chosho","著書","(written) work"
"chou","兆","10^12"
"chou","長","head"
"chou","超","super-"
"chou","腸","guts"
"choudai","頂戴","receiving"
"choudo","丁度","exactly"
"chouhou","重宝","convenient"
"choukan","長官","secretary (government)"
"chouki","長期","long-term"
"choukyori","長距離","long distance"
"choume","丁目","district of a town"
"chousa","調査","investigation"
"chousei","調整","adjustment"
"chousen","挑戦","challenge"
"chousen","朝鮮","Korea"
"chousetsu","調節","regulation"
"choushi","調子","tune"
"choushoku","朝食","breakfast"
"choushuu","徴収","collection (of fees, taxes, etc.)"
"choutatsu","調達","supply"
"chouten","頂点","top"
"chuu","注","annotation"
"chuuban","中盤","middle (stage)"
"chuudan","中断","interruption"
"chuudoku","中毒","poisoning"
"chuugakkou","中学校","junior high school"
"chuugoku","中国","China"
"chuui","注意","caution"
"chuujitsu","忠実","faithful"
"chuujun","中旬","middle of a month"
"chuukei","中継","relay"
"chuuko","中古","used"
"chuumoku","注目","notice"
"chuumon","注文","order"
"chuuou","中央","centre"
"chuuryaku","中略","omission (of middle part of a text)"
"chuusen","抽選","lottery"
"chuusha","駐車","parking (e.g. car)"
"chuusha","注射","injection"
"chuushi","中止","suspension"
"chuushin","中心","center"
"chuushoku","昼食","lunch"
"chuushou","抽象","abstraction"
"chuushutsu","抽出","extraction"
"chuutohanpa","中途半端","halfway"
"chuutou","中東","Middle East"
"dai","台","stand"
"dai","第","prefix for forming ordinal numbers"
"dai","題","title"
"daigaku","大学","university"
"daigakuin","大学院","graduate school"
"daihyou","代表","representative"
"daiji","大事","important"
"daijin","大臣","cabinet minister"
"daijoubu","大丈夫","safe"
"daikon","大根","daikon (variety of large white Oriental radish, Raphanus sativus var. longipinnatus)"
"daisansha","第三者","third party"
"daishinsai","大震災","great earthquake (disaster)"
"daisuki","大好き","loveable"
"daitai","代替","substitution"
"daitan","大胆","bold"
"daitouryou","大統領","president (of a nation or company)"
"daizu","大豆","soya bean (Glycine max)"
"dake","丈","only"
"dakko","抱っこ","hug"
"dakyou","妥協","compromise"
"dame","駄目","no good"
"danbou","暖房","(indoor) heating"
"danjo","男女","men and women"
"dankai","段階","grade"
"danna","旦那","master (of a house, shop, etc.)"
"dannen","断念","abandoning (hope, plans)"
"dansei","男性","man"
"danshi","男子","youth"
"dantai","団体","organization"
"dare","誰","who"
"dareka","誰か","someone"
"dashi","出し","dashi (Japanese soup stock made from fish and kelp)"
"dassen","脱線","derailment"
"dasshutsu","脱出","escape"
"datou","妥当","valid"
"de","出","coming out"
"deguchi","出口","exit"
"dekiru","出来る","to be able (in a position) to do"
"den'atsu","電圧","voltage"
"denchi","電池","battery"
"dengen","電源","source of electricity"
"denki","電気","electricity"
"denkyuu","電球","light bulb"
"denpa","電波","radio wave"
"densetsu","伝説","tradition"
"densha","電車","train"
"dentou","伝統","tradition"
"dentou","電灯","electric light"
"denwa","電話","telephone call"
"deru","出る","to leave"
"deshi","弟子","pupil"
"dojou","土壌","soil"
"doko","何処","where"
"doku","毒","poison"
"dokuji","独自","original"
"dokuritsu","独立","independence"
"dokusai","独裁","dictatorship"
