一,one
丨,vertical stroke
口,mouth
日,day
十,ten
干,dry
年,year
人,person
大,large
亅,hook
丁,ward
竹,bamboo
笑,laugh
二,two
丿,diagonal sweeping stroke
冂,to enclose
月,month
八,eight
木,tree
本,book
凵,container
山,mountain
出,exit
土,soil
丶,dot
寸,measurement
寺,Buddhist temple
時,time
中,middle
彳,step
行,go
目,eye
儿,human legs
見,see
今,now
刀,sword
分,part
厶,private
云,say
会,association
卜,oracle
上,up
彐,snout
尹,director
事,abstract thing
王,king
玉,ball
囗,border
国,country
了,finish
子,child
巾,towel
亠,lid
市,market
門,gates
間,interval
生,life
冖,cover
学,study
刂,variant of 刀 (sword)
前,in front
乙,the latter
乂,mow
气,steam
気,feeling
東,east
耂,old
者,someone
扌,variant of 手 (hand)
手,hand
自,oneself
未,not yet
来,come
也,to be
地,ground
合,fit
方,direction
小,small
県,prefecture
田,rice paddy
高,tall
心,heart
思,think
又,or again
幺,short thread
夂,to follow
後,behind
言,say
立,stand up
阝,variant of 邑 (city)
部,part
勹,to wrap
勿,not
場,place
同,same
斤,axe
新,new
入,enter
衣,clothes
艮,boundary
長,long
久,long time
夕,evening
廾,folded hands
癶,outspread legs
発,departure
明,bright
京,capital
乍,while
亻,variant of 人 (person)
作,make
女,woman
耳,ear
取,take
最,most
下,below
名,name
弋,javelin
代,substitute
廿,twenty
厂,cliff
广,dotted cliff
度,degrees
豕,pig
宀,roof
家,house
川,river
首,neck
廴,to move
辶,variant of ⻌ and ⻎ (to move)
道,road
可,possible
何,what
牛,cow
物,thing
回,times
内,inside
止,stop
定,decide
全,whole
用,use
通,pass through
白,white
勺,ladle
的,target
三,three
甲,armor
単,simple
戈,spear
戦,war
己,self
弓,bow
第,ordinal number prefix
予,in advance
里,village
野,field
力,power
千,thousand
重,heavy
動,move
体,body
矢,arrow
知,know
都,metropolis
尸,corpse
戸,door
所,place
主,master
礻,variant of 示 (indicate)
社,company
禾,grain
私,me
表,express
当,hit
開,open
舌,tongue
話,talk
業,business
万,ten thousand
成,become
文,writing
対,opposite
天,heaven
関,related
車,car
勝,win
灬,variant of 火 (fire)
馬,horse
尺,shaku
駅,station
金,gold
島,island
無,nothing
連,take along
申,say
神,god
理,reason
共,together
巳,sign of the snake
選,choose
外,outside
画,tableau
実,truth
冫,ice
楽,pleasure
匕,spoon
北,north
音,sound
意,idea
水,water
父,father
交,mix
校,school
匚,box
区,ward
世,world
忄,variant of 心 (heart)
性,gender
以,by means of
聿,writing brush
書,write
皮,skin
彼,he
衤,variant of 衣 (clothes)
初,first
位,rank
現,appear
占,fortune telling
点,point
原,field
記,write down
近,near
母,mother
氵,variant of 水 (water)
海,sea
感,feeling
店,shop
持,hold
至,climax
屋,roof
先,previous
安,cheap
相,mutual
平,flat
円,round
男,male
不,non-
多,many
幸,happiness
卩,stamp
報,report
町,town
虫,insect
几,table
風,wind
食,eat
公,public
去,leave
法,method
和,peace
夬,decide
決,decide
化,change
面,face
工,craft
穴,hole
空,sky
幾,how many
機,machine
羊,sheep
様,formal title
正,correct
兀,lofty
西,west
爪,claw
愛,love
我,ego
義,righteousness
議,deliberation
泉,spring
糸,thread
線,line
帰,return
雨,rain
電,electricity
冬,winter
終,end
貝,shellfish
員,member
米,rice
攵,strike
数,number
釆,to separate
番,one's turn
身,body
強,strong
美,beauty
孝,filial piety
教,teach
村,village
好,like
氏,family name
民,people
歹,death & dying
死,death
五,five
吾,our
語,language
亦,again
変,change
張,stretch
具,tool
真,true
欠,lack
次,next
甘,sweet
其,that
期,period of time
元,origin
付,attach
約,promise
考,think
少,few
向,over there
味,flavor
政,politics
早,early
朝,morning
経,manage
周,circumference
調,investigate
反,anti-
阪,heights
良,good
士,gentleman
吉,good luck
結,tie
利,profit
要,need
岡,hill
聞,hear
送,send
隹,small bird
集,collect
吏,officer
使,use
且,moreover
組,association
活,active
加,add
台,pedestal
在,exist
売,sell
続,continue
奄,obstruct
俺,I
旨,delicious
指,finger
式,style
達,attain
制,control
仕,do
寝,lie down
青,blue
情,feelings
特,special
信,trust
葉,leaf
放,release
引,pull
号,number
打,hit
七,seven
切,cut
府,urban prefecture
憂,melancholy
優,superior
別,separate
品,article
夜,night
福,luck
介,jammed in
界,world
問,question
受,accept
南,south
殳,lance shaft
設,establish
軍,army
運,carry
古,old
呆,be amazed
保,preserve
辰,Fifth zodiac sign
震,quake
半,half
宮,Shinto shrine
流,stream
着,wear
治,govern
過,go beyond
進,advance
角,angle
解,untie
始,begin
走,run
起,wake up
有,have
犬,dog
然,so
太,thick
込,crowded
郎,son
彡,hair-style
彦,lad
頁,head
顔,face
旦,daybreak
得,acquire
足,foot
直,straight
罒,net
置,put
広,wide
是,just so
題,topic
井,well
巴,tomoe
色,color
居,reside
松,pine
各,each
洛,the capital
落,fall
声,voice
完,perfect
院,institution
石,stone
買,buy
矛,halberd
務,duty
能,ability
確,certain
転,revolve
亜,sub-
悪,bad
午,noon
卸,wholesale
御,honorable
韋,leather
違,differ
豆,beans
頭,head
示,indicate
余,leave over
除,exclude
谷,valley
冊,counter for books
論,theory
形,shape
氺,water
藤,wisteria
乗,ride
参,participate
四,four
祭,festival
際,occasion
夫,husband
産,give birth
刃,blade
忍,endure
認,recognize
団,group
計,measure
権,rights
州,state
束,bundle
頼,trust
火,fire
兄,older brother
説,theory
昨,previous
待,wait
光,ray
象,elephant
親,parent
求,request
球,sphere
投,throw
支,branch
曲,musical composition
判,judge
等,class
由,reason
演,perform
件,affair
歌,song
奇,strange
崎,promontory
黄,yellow
横,side
像,statue
頑,stubborn
官,government official
飠,eat
館,public building
君,you
総,whole
城,castle
注,pour
呼,call
速,fast
容,contain
失,lose
鉄,iron
央,center
映,reflect
他,other
限,limit
喬,high
橋,bridge
路,road
応,respond
花,flower
園,garden
吊,suspend
常,normal
誰,who (question word)
党,group
試,test
降,descend
局,office
句,phrase
敬,respect
警,guard against
観,observe
想,concept
果,fruit
景,scenery
影,shadow
役,service
再,again
叩,strike
命,fate
歩,walk
格,status
武,military
斗,big dipper
科,section
両,both
査,investigate
急,hurry
改,reformation
種,kind
休,rest
暴,outburst
爆,explode
告,tell
週,week
料,fee
字,letter
念,thought
伝,transmit
育,nurture
返,return
酉,sake jar
配,distribute
片,one-sided
版,printing block
存,suppose
与,give
写,copy
僕,me
歳,year-end
住,dwelling
依,reliant
丘,hill
兵,soldier
浜,seacoast
必,without fail
絶,discontinue
丙,third class
疒,sickness
病,sick
升,measuring box
飛,fly
肖,resemblance
削,plane
壬,9th calendar sign
任,responsibility
緒,thong
残,remainder
奈,what
羽,feather
曜,day of the week
術,art
備,provide
友,friend
系,lineage
係,person in charge
技,skill
史,history
沢,swamp
登,climb
則,rule
側,side
殺,kill
曽,formerly
増,increase
状,form
協,cooperation
九,nine
丸,circle
勢,power
害,harm
消,extinguish
黒,black
編,compile
準,standard
構,construct
願,request
難,difficult
允,license
充,allot
統,unite
賞,prize
基,foundation
庫,warehouse
深,deep
検,examine
供,offer
坐,sit
座,sit
処,dispose
室,room
江,inlet
英,England
津,haven
左,left (direction)
佐,help
客,guest
録,record
右,right (direction)
若,young
遊,play
極,poles
痛,pain
百,hundred
宿,inn
営,manage
飲,drink
疲,exhausted
越,cross over
刑,punish
型,model
助,help
追,follow
巷,fork in road
港,harbor
断,cut off
覚,memorize
赤,red
負,lose
職,employment
衛,defense
族,tribe
疋,bolt of cloth
疑,doubt
習,learn
六,six
案,plan
研,sharpen
根,root
素,elementary
丹,cinnabar
舟,boat
船,boat
究,research
読,read
復,again
規,rule
価,value
比,compare
故,circumstances
造,create
撮,snapshot
林,woods
歴,curriculum
省,government ministry
移,shift
隊,group
建,build
夏,summer
提,present
退,retreat
態,condition
臣,retainer
皿,dish
監,oversee
師,expert
撃,beat
或,some
域,range
眼,eyeball
波,wave
資,resources
守,protect
派,sect
遠,far
収,take in
質,quality
更,grow late
森,forest
製,manufacture
毋,not
毎,every
防,prevent
非,negative
援,aid
春,springtime
段,steps
低,low
率,rate
秋,autumn
敗,failure
飯,meal
召,summon
昭,shining
列,row
例,example
朱,vermilion
株,stocks
頃,times
凶,villain
離,detach
図,diagram
之,of
末,end
渡,transit
突,stab
富,rich
施,carry out
斉,adjusted
済,settle
競,compete
炎,inflammation
談,discuss
固,hard
個,individual
挙,raise
星,star
値,value
差,distinction
辺,environs
腹,abdomen
呈,display
程,extent
満,full
働,work
条,clause
庁,government office
郡,county
振,shake
河,river
伊,italy
視,look at
委,committee
修,discipline
量,quantity
苦,suffer
乃,from
及,reach out
級,rank
験,test
皆,all
階,floor of a building
類,sort
岩,boulder
眠,sleep
匸,to conceal
亡,deceased
望,hope
巻,scroll
酒,alcoholic drink
細,thin
焼,bake
陸,land
割,divide
洋,ocean
器,container
紙,paper
銀,silver
商,sell
被,incur
察,guess
隻,vessels
護,safeguard
識,discriminating
姿,figure
旅,trip
源,origin
減,decrease
旧,old times
児,child
