亜 a 亜鉛/東亜/亜熱帯
宛 a 宛先/宛名
挨 ai 挨拶
愛 ai 可愛い/恋愛/愛する
曖 ai 曖昧
案 an 提案/案内/案外
嵐 arashi 砂嵐/青嵐/磁気嵐
圧 atsu 圧力/圧倒的/電圧
扱 atsuka 扱い/扱う/取り扱い
婆 ba 老婆/娑婆/婆さん
倍 bai 倍増/倍率/人一倍
陪 bai 陪審/陪席
媒 bai 媒体/媒介/触媒
賠 bai 賠償
漠 baku 砂漠/サハラ砂漠/茫漠
爆 baku 爆発/被爆/爆弾
晩 ban 昨晩/毎晩/晩年
番 ban 一番/番組/番号
蛮 ban 野蛮/南蛮/蛮行
盤 ban 基盤/中盤/終盤
伐 batsu 討伐/伐採/間伐
閥 batsu 派閥/財閥/学閥
弁 ben 弁当/弁護士/勘弁
勉 ben 勉強/勤勉/勉学
微 bi 微妙/微か/微量
敏 bin 敏感/過敏/鋭敏
瓶 bin 瓶詰め/花瓶/小瓶
簿 bo 名簿/簿記/帳簿
朴 boku 素朴/朴訥
睦 boku 親睦/和睦
僕 boku 僕ら/僕たち/下僕
撲 boku 相撲/大相撲/撲滅
凡 bon 平凡/凡人/凡庸
盆 bon お盆/盆踊り/盆地
没 botsu 没頭/沈没/水没
勃 botsu 勃起/勃発/勃興
坊 bou 坊主/赤ん坊/寝坊
肪 bou 脂肪/脂肪酸/皮下脂肪
某 bou 某所/某氏/某社
剖 bou 解剖
帽 bou 帽子/脱帽/麦わら帽子
棒 bou 相棒/泥棒/綿棒
貿 bou 貿易
貌 bou 変貌/全貌/風貌
部 bu 部分/部屋/一部
秒 byou 毎秒/秒読み/秒速
嫡 chaku 嫡子/嫡出
痴 chi 愚痴/音痴/痴漢
稚 chi 幼稚園/稚拙/幼稚
緻 chi 緻密/精緻/巧緻
畜 chiku 家畜/畜産/鬼畜
逐 chiku 駆逐/逐一/逐次
朕 chin 
陳 chin 陳列/新陳代謝/陳腐
賃 chin 賃金/賃貸/家賃
秩 chitsu 秩序/無秩序
窒 chitsu 窒素/窒息
貯 cho 貯金/貯蓄/貯蔵
勅 choku 勅使/勅撰
捗 choku 進捗/捗る
庁 chou 省庁/警視庁/県庁
帳 chou 手帳/通帳/蚊帳
腸 chou 大腸/胃腸/浣腸
徴 chou 特徴/象徴/徴収
宙 chuu 宇宙/宇宙船/小宇宙
忠 chuu 忠実/忠誠/忠告
抽 chuu 抽象/抽選/抽出
衷 chuu 折衷/和洋折衷/衷心
酎 chuu 焼酎
駐 chuu 駐車/駐在/常駐
妥 da 妥当/妥協
堕 da 堕落/堕胎/自堕落
惰 da 怠惰/惰性/惰眠
駄 da 無駄/駄目/無駄遣い
第 dai 次第/次第に/第三者
題 dai 問題/話題/課題
諾 daku 承諾/許諾/快諾
団 dan 団体/集団/布団
段 dan 普段/値段/段階
談 dan 相談/冗談/余談
壇 dan 俳壇/登壇/花壇
誰 dare 誰か/誰々/誰彼
電 den 電話/電車/電源
奴 do 奴隷/奴ら/冷奴
毒 doku 中毒/気の毒/消毒
丼 donburi 天丼/うな丼
胴 dou 胴体/胴上げ/胴元
堂 dou 堂々/食堂/講堂
銅 dou 銅像/銅メダル/青銅
英 ei 英語/英国/英文
衛 ei 防衛/自衛隊/衛生
疫 eki 免疫/疫学/検疫
益 eki 利益/収益/有益
液 eki 血液/液晶/液体
駅 eki 駅前/最寄り駅/駅員
宴 en 宴会/披露宴/饗宴
媛 en 才媛
援 en 支援/応援/援助
演 en 演奏/出演/演出
悦 etsu 満悦/悦楽/愉悦
謁 etsu 謁見/拝謁
閲 etsu 閲覧/検閲/閲読
扶 fu 扶助/扶養/食い扶持
府 fu 政府/都道府県/幕府
阜 fu 岐阜
附 fu 
訃 fu 訃報
婦 fu 夫婦/主婦/婦人
符 fu 切符/音符/符号
普 fu 普通/普段/普及
膚 fu 皮膚/完膚
賦 fu 割賦/天賦/賦活
譜 fu 楽譜/年譜/新譜
服 fuku 洋服/服装/克服
副 fuku 副作用/副業/副題
復 fuku 回復/復活/復興
福 fuku 福岡/幸福/福祉
複 fuku 複数/複雑/複合
雰 fun 雰囲気
墳 fun 古墳/前方後円墳/墳墓
賀 ga 年賀状/祝賀/年賀
雅 ga 優雅/風雅/雅楽
餓 ga 飢餓/餓死/餓鬼
劾 gai 弾劾
害 gai 被害/障害/災害
涯 gai 生涯/境涯/天涯
慨 gai 感慨/感慨深い/憤慨
該 gai 該当/当該
概 gai 概念/概要/概ね
骸 gai 残骸/死骸/亡骸
玩 gan 玩具/愛玩
頑 gan 頑張り/頑張る/頑張れ
芸 gei 芸術/文芸/芸人
劇 geki 劇場/悲劇/演劇
玄 gen 玄関/玄米/玄人
舷 gen 舷側
宜 gi 宜しく/適宜/宜しい
義 gi 主義/定義/講義
儀 gi 儀式/葬儀/余儀なく
擬 gi 模擬/擬音/擬人
犠 gi 犠牲
議 gi 不思議/議論/会議
吟 gin 吟味/吟行/独吟
銀 gin 銀行/銀座/銀河
午 go 午後/午前/正午
呉 go 呉服
娯 go 娯楽
碁 go 囲碁/碁盤/碁石
護 go 保護/看護/弁護士
獄 goku 地獄/脱獄/投獄
号 gou 番号/信号/記号
拷 gou 拷問
剛 gou 剛力/剛性/剛毛
傲 gou 傲慢/傲岸
豪 gou 豪華/富豪/豪雨
具 gu 具体/具合/道具
