一 ichi "one; best"
一番 ichiban "number one, first, first place; best, most"
一つ hitotsu "one; for one thing"
乙 otsu "second (party to an agreement), the B party (e.g. in a contract), the latter, defendant; stylish, chic, spicy, witty, tasty, romantic"
甲乙 kouotsu "first and second, A and B; superiority and (or) inferiority, distinction (in quality), discernment, discrimination"
早乙女 saotome "young female rice planter, young girl"
九 kyuu nine
九州 kyuushuu "Kyushu (southernmost of the four main islands of Japan)"
北九州 kitakyuushuu "Kitakyushu (city)"
七 shichi "seven; hepta-"
七夕 tanabata "Star Festival (held in July or August), Tanabata, Festival of the Weaver"
七つ nanatsu seven
十 juu ten
十分 juubun "enough, sufficient, plenty, adequate, satisfactory; sufficiently, fully, thoroughly, well, perfectly"
不十分 fujuubun "insufficient, inadequate, imperfect"
人 jin "-ian (e.g. Italian), -ite (e.g. Tokyoite); -er (e.g. performer, etc.), person working with ..."
人間 ningen "human being, person, man, mankind, humankind; character (of a person)"
個人 kojin "individual, private person, personal, private"
丁寧 teinei "polite, courteous, civil; careful, close, thorough, conscientious"
丁度 choudo "exactly, precisely, just, right; as if, as though, quite"
丁目 choume "district of a town, city block (of irregular size)"
刀 katana "(single-edged) sword, katana; dagger, knife"
太刀打ち tachiuchi "crossing swords; competing against, contending with, fighting against"
太刀 tachi "long sword"
二 ni two
二つ futatsu two
二度と nidoto "never again"
入れ ire "container, receptacle"
購入 kounyuu "purchase, buy"
入り iri "entering; setting (of the Sun)"
八 hachi eight
八王子 hachiouji "Hachiōji (city)"
八百屋 yaoya greengrocer
又 mata "again, and, also, still (doing something)"
又は mataha "or, otherwise"
又もや matamoya "again (and again), once again"
終了 shuuryou "end, close, termination"
完了 kanryou "completion, conclusion; perfect (tense, form, aspect)"
了承 ryoushou "acknowledgement, acknowledgment, understanding (e.g. ""please be understanding of the mess during our renovation""), noting, acceptance"
力 chikara "force, strength, might, vigour (vigor), energy; capability, ability, proficiency, capacity, faculty"
入力 nyuuryoku "input, (data) entry"
能力 nouryoku "ability, faculty"
下 shita "below, down, under, younger (e.g. daughter); bottom"
以下 ika "not exceeding, and downward, ... and below; below (e.g. standard), under (e.g. a level)"
下さい kudasai "please give me; please do for me"
若干 jakkan "some, few, a number of, a little (bit); somewhat, to a certain extent"
干し hoshi "drying, dried"
干渉 kanshou "interference, intervention, meddling"
丸 maru "circle; entirety, whole, full, complete"
丸い marui "round, circular, spherical; harmonious, calm"
丸ごと marugoto "in its entirety, whole, wholly"
久しぶり hisashiburi "a long time (since the last time), first in a long time"
久々 hisabisa "(in a) long time, long time (ago), while (ago), long ago, long while (ago), (in a) long while"
耐久 taikyuu "endurance, persistence"
及び oyobi "and, as well as"
