亜 a "sub-; -ous (indicating a low oxidation state), -ite"
挨拶 aisatsu "greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody; polite set phrase used to express apology, sympathy, congratulations, etc."
愛 ai "love, affection, care; attachment, craving, desire"
可愛い kawaii "cute, adorable, charming, lovely, pretty; dear, precious, darling, pet"
恋愛 ren'ai "love, love-making, passion, emotion, affections"
曖昧 aimai "vague, ambiguous, unclear; fuzzy"
提案 teian "proposal, proposition, suggestion"
案内 annai "guidance, leading (the way), showing around; information, notice, notification"
案 an "idea, plan, proposal, suggestion, (government) bill; draft, rough copy"
嵐 arashi "storm, tempest; storm, hullaballoo, uproar, winds (e.g. of change)"
圧力 atsuryoku "pressure, stress; pressure (e.g. political), coercion, arm-twisting"
圧倒的 attouteki overwhelming
圧 atsu "pressure, force"
扱い atsukai "treatment, service"
扱う atsukau "to deal with (a person), to treat, to handle, to take care of, to entertain; to deal with (a problem), to handle, to manage"
取り扱い toriatsukai "treatment, service, handling, management"
倍 bai "twice, double; times, -fold"
媒体 baitai "medium, media"
賠償 baishou "compensation, reparations, indemnity, damages"
砂漠 sabaku desert
爆発 bakuhatsu "explosion, detonation, eruption; eruption (of discontent, etc.), outburst, outpouring"
被爆 hibaku "being bombed; being A-bombed, being nuked, being exposed to radiation (from an atomic blast)"
爆弾 bakudan "bomb; alcohol with liquor added (esp. wine-based shochu highball, also beer with whiskey)"
晩 ban "evening; counter for nights"
昨晩 sakuban "last night"
毎晩 maiban "every night"
一番 ichiban "number one, first, first place; best, most"
番組 bangumi "program (e.g. TV), programme"
番 ban "number (in a series); (one's) turn"
盤 ban "disk, disc, record, clock face; tray, shallow bowl"
基盤 kiban "foundation, basis, base, footing, infrastructure; bedrock"
中盤 chuuban "middle (stage)"
弁当 bentou bento
弁護士 bengoshi "lawyer, attorney"
弁 ben "speech, tongue, talk, eloquence; dialect, brogue, accent"
勉強 benkyou "study; diligence"
微妙 bimyou "subtle, delicate, fine; difficult, complex, tricky, delicate (situation, position, etc.), close (e.g. decision)"
微 bi "minuteness; one millionth"
敏感 binkan "sensitive, alert, aware, susceptible"
瓶 bin "bottle, jar, decanter, flagon, phial, vial"
素朴 soboku "simple, artless, naive, unsophisticated"
僕 shimobe "servant, manservant, menial"
僕ら bokura we
相撲 sumou "sumo wrestling"
お盆 obon "O-Bon, Bon Festival, Lantern Festival, Festival of the Dead; tray"
没 botsu "death; lacking, without"
坊 bou "bonze, monk; monk's dwelling"
脂肪 shibou "fat, grease, blubber, lard, suet"
某 bou "certain, one"
帽子 boushi "hat, cap"
棒 bou "pole, rod, stick"
相棒 aibou "partner, pal, accomplice"
貿易 boueki "trade (foreign)"
部分 bubun "portion, section, part"
部 bu "department (in an organization), division, bureau; club"
部屋 heya "room, chamber; apartment, flat, pad"
秒 byou "second (unit of time); arc second"
愚痴 guchi "idle complaint, grumble; moha (ignorance, folly)"
幼稚園 youchien kindergarten
賃金 chingin "wages; cash payment of rent"
賃貸 chintai "lease, rent, hire"
家賃 yachin rent
秩序 chitsujo "order, discipline, regularity, system, method"
貯金 chokin "putting money aside, savings, deposit (e.g. in a bank); accumulated surplus of wins, wins in the bank"
貯蓄 chochiku savings
帳 chou "book, register"
手帳 techou "notebook, memo pad, (pocket) diary"
腸 chou "guts, bowels, intestines"
特徴 tokuchou "feature, trait, characteristic, peculiarity, distinction"
象徴 shouchou "(abstract) symbol, emblem, representation"
徴収 choushuu "collection (of fees, taxes, etc.), levy"
宇宙 uchuu "universe, cosmos, space"
宇宙船 uchuusen spaceship
忠実 chuujitsu "faithful, devoted, loyal, honest, true"
抽象 chuushou abstraction
抽選 chuusen "lottery, raffle, drawing (of lots)"
抽出 chuushutsu "extraction, abstraction; selection (from a group), sampling"
焼酎 shouchuu shochu
駐車 chuusha "parking (e.g. car)"
妥当 datou "valid, proper, right, appropriate, reasonable"
妥協 dakyou "compromise, giving in"
無駄 muda "futility, waste, uselessness, pointlessness, idleness"
駄目 dame "no good, not serving its purpose, useless, broken; hopeless, wasted, in vain, purposeless"
第 dai "prefix for forming ordinal numbers"
次第 shidai "depending on; as soon as, immediately (upon)"
次第に shidaini "gradually (progress into a state); in sequence, in order, in turn"
問題 mondai "question (e.g. on a test), problem; problem (e.g. societal, political), question, issue, subject (e.g. of research), case, matter"
話題 wadai "topic, subject"
課題 kadai "subject, theme, issue, matter; homework, assignment"
団体 dantai "organization, organisation, association"
団 dan "body, group, party, company, troupe"
集団 shuudan "group, mass"
普段 fudan "usual, normal, everyday, habitual, ordinary; usually, normally, generally, habitually, always"
値段 nedan "price, cost"
段階 dankai "grade, level, stage, class, phase, steps, order, gradation"
相談 soudan "consultation, discussion, discussing, asking (somebody) for advice"
冗談 joudan "jest, joke, funny story"
余談 yodan "digression, sequel (of a story)"
俳壇 haidan "the world of the haiku"
誰 dare who
誰か dareka "someone, somebody"
電話 denwa "telephone call, phone call"
電車 densha "train, electric train"
電源 dengen "source of electricity, electrical power; power (button on TV, etc.)"
奴 yakko "servant (esp. a samurai's attendant); chivalrous man (c. Edo period)"
奴隷 dorei "slave, servant; slavery"
毒 doku "poison, toxicant; harm, evil influence"
中毒 chuudoku "poisoning; addiction"
丼 donburi "porcelain bowl"
堂 dou "temple, shrine, chapel; hall"
堂々 doudou "magnificent, grand, impressive, dignified, majestic, imposing, stately; fair, square, open, unashamed, brazen"
食堂 shokudou "dining room, dining hall, cafeteria, messroom; restaurant, eatery, snack bar, diner"
英語 eigo "English (language)"
英国 eikoku "Great Britain, the United Kingdom"
英文 eibun "English writing, English sentence, English text"
防衛 bouei "defense, defence, protection"
自衛隊 jieitai "self-defence force, self-defense force; Japan Self-Defence Force, JSDF"
衛生 eisei "hygiene, sanitation, health"
免疫 men'eki "immunity, immunization, immunisation; being hardened (to), being unaffected (by), being accustomed (to)"
利益 rieki "profit, gains; benefit, advantage, interest (of the public, etc.)"
収益 shuueki "earnings, proceeds, returns, revenue"
有益 yuueki "beneficial, profitable, useful, helpful, instructive"
血液 ketsueki blood
液晶 ekishou "liquid crystal"
液 eki "liquid, fluid"
駅 eki "railway station, train station; staging post on a highway (in pre-modern Japan)"
駅前 ekimae "in front of a station"
宴会 enkai "party, banquet, reception, feast, dinner"
支援 shien "support, backing, aid, assistance"
応援 ouen "aid, assistance, help, reinforcement, rooting, barracking, support, cheering"
援助 enjo "assistance, aid, support"
演奏 ensou "musical performance"
出演 shutsuen "performance, appearance (in a stage, film, TV show, etc.)"
演出 enshutsu "production (e.g. play), direction"
閲覧 etsuran "inspection, reading, perusal; browsing (the web)"
政府 seifu "government, administration"
府 fu "(metropolitan) prefecture (of Osaka and Kyoto); the centre or seat (of) (center)"
岐阜 gifu "Gifu (city)"
夫婦 fuufu "married couple, husband and wife, man and wife; his and hers"
主婦 shufu "housewife, mistress (of the house), homemaker"
婦人 fujin "woman, lady, adult female"
切符 kippu ticket
普通 futsuu "general, ordinary, usual; normally, generally, usually"
普及 fukyuu "diffusion, spread, popularization, promulgation, familiarization"
皮膚 hifu skin
楽譜 gakufu "score, sheet music"
服 fuku "clothes (esp. Western clothes); counter for doses of medicine, gulps of tea, drags of a cigarette, etc."
洋服 youfuku "Western-style clothes (cf. traditional Japanese clothes)"
服装 fukusou "garments, attire"
副 fuku "assistant, associate, vice-, sub-, deputy, substitute, auxiliary, supplementary, additional, collateral; duplicate, copy"
副作用 fukusayou "side effect, adverse reaction"
回復 kaifuku "restoration, rehabilitation, recovery, return, replevin, improvement; recovery (from an illness), recuperation, convalescence"
復活 fukkatsu "revival (e.g. musical), come-back; restoration, rebirth, resurrection"
復興 fukkou "revival, reconstruction, restoration, rebuilding, recovery, renaissance"
福岡 fukuoka "Fukuoka (city)"
幸福 koufuku "happiness, well-being, joy, welfare, blessedness"
福祉 fukushi "welfare, well-being, social welfare, social security, social service"
複数 fukusuu "plural, multiple, several"
複雑 fukuzatsu "complex, complicated, intricate, mixed (feelings)"
複合 fukugou "composite, combined, complex"
雰囲気 fun'iki "atmosphere, mood, ambience, ambiance, aura, feel; a certain air, presence, special aura, something (about someone)"
年賀状 nengajou "New Year's card"
優雅 yuuga "elegant, graceful, refined"
被害 higai "(suffering) damage, injury, harm"
障害 shougai "obstacle, impediment, hindrance, difficulty, barrier; handicap, impairment, disability, disorder, malfunction"
災害 saigai "calamity, disaster, misfortune"
生涯 shougai "life, lifetime, career; for life, all one's life, throughout one's life, as long as one lives"
感慨 kangai "deep emotion, strong feelings"
該当 gaitou "corresponding to, being applicable to, being relevant to, coming under, falling under, fulfilling (requirements), meeting (conditions), qualifying for"
当該 tougai "appropriate (e.g. authorities), concerned, relevant, said, aforementioned, competent, applicable, respective"
概念 gainen "general idea, concept, notion"
概要 gaiyou "outline, summary, overview, abridgment, synopsis"
頑張り ganbari "tenacity, endurance"
頑張る ganbaru "to persevere, to persist, to keep at it, to hang on, to hold out, to do one's best; to insist that, to stick to (one's opinion)"
頑張れ ganbare "hold on, go for it, keep at it, do your best"
芸術 geijutsu "(fine) art, the arts"
文芸 bungei "literature; the arts, art and literature, liberal arts"
芸人 geinin "entertainer (esp. in a traditional art), performer, artiste; talented person, accomplished person"
劇 geki "drama, play"
劇場 gekijou "theatre, theater, playhouse"
悲劇 higeki "tragedy, tragic drama, tragic play; tragedy, calamity, disaster"
玄関 genkan "entrance, front door, entryway, entranceway, entry hall, vestibule, porch, foyer, mud room"
宜しく yoroshiku "well, properly, suitably; best regards, please remember me, please treat me favorably (favourably), please take care of, please do"
主義 shugi "doctrine, rule, principle, -ism"
定義 teigi definition
講義 kougi lecture
儀式 gishiki "ceremony, rite, ritual, service"
葬儀 sougi "funeral service"
余儀なく yoginaku "unavoidably, necessarily, inevitably"
犠牲 gisei "sacrifice, victim, scapegoat; sacrifice (to the gods)"
不思議 fushigi "wonderful, marvelous, strange, incredible, amazing, curious, miraculous, mysterious"
議論 giron "argument, discussion, dispute, controversy"
会議 kaigi "meeting, conference, session, assembly, council, convention, congress"
銀行 ginkou bank
銀 gin "silver (Ag); silver coin, money"
銀座 ginza "Ginza (shopping district in Tokyo); (Edo period) silver mint"
午後 gogo "afternoon, p.m."
午前 gozen "morning, a.m."
娯楽 goraku "pleasure, amusement"
保護 hogo "protection, safeguard, guardianship, custody, patronage; preservation, conservation"
看護 kango "nursing, (army) nurse"
地獄 jigoku hell
号 gou "number, edition, make, model, issue, part of that group; sobriquet, pen-name"
番号 bangou "number, series of digits"
信号 shingou "signal, signalling, signaling; traffic light, traffic signal"
剛 gou "strong, hard, manly"
剛力 gouriki "herculean strength, mountain carrier-guide"
豪華 gouka "wonderful, gorgeous, splendor, splendour, pomp, extravagance"
具体 gutai "concrete, tangible, material"
具合 guai "condition, state; health, state (of health)"
道具 dougu "tool, implement, instrument, utensil, apparatus, device; means"
軍 gun "army, force, troops"
軍事 gunji "military affairs"
軍隊 guntai "armed forces, military, troops"
