"亜","a",""
"哀","ai awa-re awa-remu","ai: 挨愛曖相藍"
"挨","ai","ai: 哀愛曖相藍"
"愛","ai","ai: 哀挨曖相藍"
"曖","ai","ai: 哀挨愛相藍"
"悪","aku o waru-i","aku: 握, o: 汚緒小尾雄"
"握","aku nigi-ru","aku: 悪"
"圧","atsu",""
"扱","atsuka-u",""
"宛","a-teru","a-teru: 充当"
"嵐","arashi",""
"安","an yasu-i","an: 案暗"
"案","an","an: 安暗"
"暗","an kura-i","an: 安案"
"以","i","i: 衣位囲医依委威為畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"衣","i koromo","i: 以位囲医依委威為畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"位","i kurai","i: 以衣囲医依委威為畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"囲","i kako-mu kako-u","i: 以衣位医依委威為畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"医","i","i: 以衣位囲依委威為畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"依","i","i: 以衣位囲医委威為畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"委","i yuda-neru","i: 以衣位囲医依威為畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"威","i","i: 以衣位囲医依委為畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"為","i","i: 以衣位囲医依委威畏胃尉異移萎偉椅彙意違維慰遺緯易井"
"畏","i oso-reru","i: 以衣位囲医依委威為胃尉異移萎偉椅彙意違維慰遺緯易井, oso-reru: 恐"
"胃","i","i: 以衣位囲医依委威為畏尉異移萎偉椅彙意違維慰遺緯易井"
"尉","i","i: 以衣位囲医依委威為畏胃異移萎偉椅彙意違維慰遺緯易井"
"異","i koto","i: 以衣位囲医依委威為畏胃尉移萎偉椅彙意違維慰遺緯易井, koto: 琴言事殊"
"移","i utsu-ru utsu-su","i: 以衣位囲医依委威為畏胃尉異萎偉椅彙意違維慰遺緯易井, utsu-ru: 映写, utsu-su: 映写"
"萎","i na-eru","i: 以衣位囲医依委威為畏胃尉異移偉椅彙意違維慰遺緯易井"
"偉","i era-i","i: 以衣位囲医依委威為畏胃尉異移萎椅彙意違維慰遺緯易井"
"椅","i","i: 以衣位囲医依委威為畏胃尉異移萎偉彙意違維慰遺緯易井"
"彙","i","i: 以衣位囲医依委威為畏胃尉異移萎偉椅意違維慰遺緯易井"
"意","i","i: 以衣位囲医依委威為畏胃尉異移萎偉椅彙違維慰遺緯易井"
"違","i chiga-u chiga-eru","i: 以衣位囲医依委威為畏胃尉異移萎偉椅彙意維慰遺緯易井"
"維","i","i: 以衣位囲医依委威為畏胃尉異移萎偉椅彙意違慰遺緯易井"
"慰","i nagusa-meru nagusa-mu","i: 以衣位囲医依委威為畏胃尉異移萎偉椅彙意違維遺緯易井"
"遺","i","i: 以衣位囲医依委威為畏胃尉異移萎偉椅彙意違維慰緯易井"
"緯","i","i: 以衣位囲医依委威為畏胃尉異移萎偉椅彙意違維慰遺易井"
"域","iki","iki: 粋息"
"育","iku soda-tsu soda-teru haguku-mu","iku: 幾"
"一","ichi itsu hito hito-tsu","ichi: 壱市, itsu: 逸五, hito: 人"
"壱","ichi","ichi: 一市"
"逸","itsu","itsu: 一五"
"茨","",""
"芋","imo",""
"引","in hi-ku hi-keru","in: 印因咽姻員院淫陰飲隠韻音, hi-ku: 弾"
"印","in shirushi","in: 引因咽姻員院淫陰飲隠韻音"
"因","in yo-ru","in: 引印咽姻員院淫陰飲隠韻音, yo-ru: 寄"
"咽","in","in: 引印因姻員院淫陰飲隠韻音"
"姻","in","in: 引印因咽員院淫陰飲隠韻音"
"員","in","in: 引印因咽姻院淫陰飲隠韻音"
"院","in","in: 引印因咽姻員淫陰飲隠韻音"
"淫","in mida-ra","in: 引印因咽姻員院陰飲隠韻音"
"陰","in kage kage-ru","in: 引印因咽姻員院淫飲隠韻音, kage: 影"
"飲","in no-mu","in: 引印因咽姻員院淫陰隠韻音"
"隠","in kaku-su kaku-reru","in: 引印因咽姻員院淫陰飲韻音"
"韻","in","in: 引印因咽姻員院淫陰飲隠音"
"右","u yū migi","u: 宇羽雨有, yū: 夕由友有勇幽悠郵湧猶裕遊雄誘憂融優"
"宇","u","u: 右羽雨有"
"羽","u ha hane","u: 右宇雨有, ha: 歯刃端把波派破覇葉"
"雨","u ame","u: 右宇羽有, ame: 天"
"唄","",""
"鬱","utsu",""
"畝","une",""
"浦","ura","ura: 裏"
"運","un hako-bu","un: 雲"
"雲","un kumo","un: 運"
"永","ei naga-i","ei: 泳英映栄営詠影鋭衛, naga-i: 長"
"泳","ei oyo-gu","ei: 永英映栄営詠影鋭衛"
"英","ei","ei: 永泳映栄営詠影鋭衛"
"映","ei utsu-ru utsu-su ha-eru","ei: 永泳英栄営詠影鋭衛, utsu-ru: 移写, utsu-su: 移写, ha-eru: 栄生"
"栄","ei saka-eru ha-e ha-eru","ei: 永泳英映営詠影鋭衛, ha-eru: 映生"
"営","ei itona-mu","ei: 永泳英映栄詠影鋭衛"
"詠","ei yo-mu","ei: 永泳英映栄営影鋭衛, yo-mu: 読"
"影","ei kage","ei: 永泳英映栄営詠鋭衛, kage: 陰"
"鋭","ei surudo-i","ei: 永泳英映栄営詠影衛"
"衛","ei","ei: 永泳英映栄営詠影鋭"
"易","eki i yasa-shii","eki: 疫益液駅役, i: 以衣位囲医依委威為畏胃尉異移萎偉椅彙意違維慰遺緯井, yasa-shii: 優"
"疫","eki","eki: 易益液駅役"
"益","eki","eki: 易疫液駅役"
"液","eki","eki: 易疫益駅役"
"駅","eki","eki: 易疫益液役"
"悦","etsu","etsu: 越謁閲"
"越","etsu ko-su ko-eru","etsu: 悦謁閲, ko-su: 超, ko-eru: 超肥"
"謁","etsu","etsu: 悦越閲"
"閲","etsu","etsu: 悦越謁"
"円","en maru-i","en: 延沿炎怨宴媛援園煙猿遠鉛塩演縁艶, maru-i: 丸"
"延","en no-biru no-beru no-basu","en: 円沿炎怨宴媛援園煙猿遠鉛塩演縁艶, no-biru: 伸, no-beru: 述伸, no-basu: 伸"
"沿","en so-u","en: 円延炎怨宴媛援園煙猿遠鉛塩演縁艶, so-u: 添"
"炎","en honoo","en: 円延沿怨宴媛援園煙猿遠鉛塩演縁艶"
"怨","en on","en: 円延沿炎宴媛援園煙猿遠鉛塩演縁艶, on: 音恩温穏御"
"宴","en","en: 円延沿炎怨媛援園煙猿遠鉛塩演縁艶"
"媛","en","en: 円延沿炎怨宴援園煙猿遠鉛塩演縁艶"
"援","en","en: 円延沿炎怨宴媛園煙猿遠鉛塩演縁艶"
"園","en sono","en: 円延沿炎怨宴媛援煙猿遠鉛塩演縁艶"
"煙","en kemu-ru kemuri kemu-i","en: 円延沿炎怨宴媛援園猿遠鉛塩演縁艶"
"猿","en saru","en: 円延沿炎怨宴媛援園煙遠鉛塩演縁艶"
