人,"kanji component: person",ひと,"人 (じん): -ian (e.g. Italian), -ite (e.g. Tokyoite)
人間 (にんげん): human being, person, man, mankind, humankind
個人 (こじん): individual, private person, personal, private
日本人 (にほんじん): Japanese person, Japanese people
人々 (ひとびと): each person, people, men and women, everybody"
一,"kanji component: one, horizontal stroke",いち,"一 (いち): one
一番 (いちばん): number one, first, first place
一つ (ひとつ): one
一緒 (いっしょ): together
一般 (いっぱん): general, universal"
丨,"kanji component: vertical stroke",たてぼう,
口,"kanji component: mouth",くち,"口 (くち): mouth
人口 (じんこう): population
入り口 (いりぐち): entrance, entry, gate, approach, mouth
口座 (こうざ): account (e.g. bank)
窓口 (まどぐち): ticket window, teller window, counter"
日,"kanji component: sun, day, time",ひ,"日 (ひ): day, days
日本 (にほん): Japan
今日 (きょう): today, this day
昨日 (きのう): yesterday
明日 (あした): tomorrow"
目,"kanji component: eye",め,"目 (め): eye, eyeball
目的 (もくてき): purpose, goal, aim, objective, intention
目標 (めじるし): mark, sign, landmark, benchmark
注目 (ちゅうもく): notice, attention, observation
目指し (めざし): aim, goal, purpose"
儿,"kanji component: human legs",ひとあし,
見,"kanji component: to see",みる,"見 (み): looking, viewing
見る (みる): to see, to look, to watch, to view, to observe
見え (みえ): airs, pretensions, show, ostentation, display, appearance, vanity, charm
見える (みえる): to be seen, to be in sight
意見 (いけん): opinion, view, comment"
凵,"kanji component: container, open box",かんにょう,
山,"kanji component: mountain",やま,"山 (やま): mountain, hill
登山 (とざん): mountain climbing
富士山 (ふじさん): Mount Fuji, Mt. Fuji, Fujiyama, Fuji-san
山本 (やまもと): foot of a mountain, base of a mountain
山形 (やまがた): mountain-shape, chevron, cone"
出,exit,,"出 (で): coming out, going out, outflow, efflux, rising (of the sun or moon)
出来 (しゅったい): occurrence, happening, taking place
出し (だし): pretext, excuse, pretense (pretence), dupe, front man
出る (でる): to leave, to exit, to go out, to come out, to get out
出す (だす): to take out, to get out"
十,"kanji component: ten",じゅう,"十 (じゅう): ten
十分 (じっぷん): 10 minutes
不十分 (ふじゅうぶん): insufficient, inadequate, imperfect
十月 (じゅうがつ): October
十字架 (じゅうじか): cross (for crucifixion), the Cross (of Christ)"
八,"kanji component: eight",はち,"八 (はち): eight
八月 (はちがつ): August
八百屋 (やおや): greengrocer
四苦八苦 (しくはっく): being in dire distress, being hard put to it
八つ (やっつ): eight"
木,"kanji component: tree, wood",き,"木 (き): tree, shrub, bush
木曜日 (もくようび): Thursday
木々 (きぎ): (many) trees, every tree, all kinds of trees
木曜 (もくよう): Thursday
青木 (あおき): Japanese laurel, spotted laurel, Aucuba japonica"
未,"not yet",,"未来 (みらい): the future (usually distant)
未 (ひつじ): eighth sign of the Chinese zodiac (The Ram, 1pm-3pm, south-southwest, June)
未だに (いまだに): still, even now, until this very day
未満 (みまん): less than, insufficient
未定 (みてい): not yet fixed, undecided, pending"
丶,"kanji component: dot",てん,
来,come,,"来 (らい): next (year, etc.)
出来 (しゅったい): occurrence, happening, taking place
来る (くる): to come (spatially or temporally), to approach, to arrive
未来 (みらい): the future (usually distant)
本来 (ほんらい): originally, primarily"
大,"kanji component: large, big",だい,"大 (おお): big, large
大きな (おおきな): big, large, great
大変 (たいへん): very, greatly, terribly, awfully
大きく (おおきく): in a big way, on a grand scale
大学 (だいがく): university, college"
亅,"kanji component: vertical stroke with a hook",はねぼう,
了,finish,,"終了 (しゅうりょう): end, close, termination
完了 (かんりょう): completion, conclusion
了承 (りょうしょう): acknowledgement, acknowledgment, understanding (e.g. ""please be understanding of the mess during our renovation""), noting, acceptance
了 (りょう): finish, completion, understanding
了解 (りょうかい): comprehension, consent, understanding, agreement"
子,"kanji component: child, son",こ,"子供 (こども): child
子 (こ): child
子ども (こども): child
様子 (ようす): state, state of affairs, situation, circumstances
原子力 (げんしりょく): atomic energy, nuclear power"
心,"kanji component: heart, mind, spirit",こころ,"心 (こころ): mind, heart, spirit
心配 (しんぱい): worry, concern, anxiety, uneasiness, fear
中心 (ちゅうしん): center, centre, middle, heart, core, focus, pivot, emphasis, balance
安心 (あんしん): relief, peace of mind
関心 (かんしん): concern, interest"
土,"kanji component: earth",つち,"土地 (とち): plot of land, lot, soil
土 (つち): earth, soil, dirt, clay, mud
土曜日 (どようび): Saturday
土産 (みやげ): present, souvenir
土日 (どにち): weekend, Saturday and Sunday"
冂,"kanji component: to enclose",けいがまえ,
田,"kanji component: rice paddy",た,"田舎 (いなか): hometown
田 (た): rice field
上田 (じょうでん): high rice field, very fertile rice field
田んぼ (たんぼ): paddy field, farm
本田 (ほんでん): rice paddy"
思,think,,"思い (おもい): thought
思う (おもう): to think, to consider, to believe, to reckon
不思議 (ふしぎ): wonderful, marvelous, strange, incredible, amazing, curious, miraculous, mysterious
思考 (しこう): thought, consideration, thinking
思える (おもえる): to seem, to appear likely"
二,"kanji component: two",に,"二 (に): two
二つ (ふたつ): two
二度と (にどと): never again
二月 (にがつ): February
二酸化炭素 (にさんかたんそ): carbon dioxide"
丁,ward,,"丁寧 (ていねい): polite, courteous, civil
丁目 (ちょうめ): district of a town, city block (of irregular size)
包丁 (ほうちょう): kitchen knife, carving knife
丁 (ちょう): sheet, page, leaf
横丁 (よこちょう): bystreet, side street, back street, alley, lane"
