一,one,"一 (ひと): one
一つ (ひとつ): one
一緒 (いっしょ): together
一般 (いっぱん): general
一部 (いちぶ): one part"
丨,vertical stroke,
口,mouth,"口 (く): mouth
人口 (じんこう): population
口座 (こうざ): account (e.g. bank)
窓口 (まどぐち): ticket window
出口 (でぐち): exit"
日,day,"日 (か): day of month
日本 (にほん): Japan
今日 (きょう): today
昨日 (きのう): yesterday
明日 (あした): tomorrow"
十,ten,"十 (シー): ten
十分 (じゅうぶん): enough
不十分 (ふじゅうぶん): insufficient
十字架 (じゅうじか): cross (for crucifixion)
赤十字 (せきじゅうじ): Red Cross"
干,dry,"若干 (じゃっかん): some
干し (ほし): drying
干渉 (かんしょう): interference
梅干し (うめぼし): umeboshi
干す (ほす): to air"
年,year,"今年 (ことし): this year
年間 (ねんかん): (period of) a year
昨年 (さくねん): last year
年代 (ねんだい): age
去年 (きょねん): last year"
人,person,"人 (にん): counter for people
人間 (じんかん): the world
個人 (こじん): individual
日本人 (にほんじん): Japanese person
人々 (ひとびと): each person"
大,large,"大きな (おおきな): big
大変 (たいへん): very
大きく (おおきく): in a big way
大学 (だいがく): university
大切 (たいせつ): important"
亅,vertical stroke with a hook,
丁,ward,"丁寧 (ていねい): polite
丁目 (ちょうめ): district of a town
包丁 (ほうちょう): kitchen knife
丁 (てい): 4th in rank
横丁 (よこちょう): bystreet"
竹,bamboo,"竹 (たけ): bamboo (any grass of subfamily Bambusoideae)
竹林 (ちくりん): bamboo thicket
爆竹 (ばくちく): firecracker
竹槍 (たけやり): bamboo spear
竹細工 (たけざいく): bamboo work"
笑,laugh,"笑 (わら): LOL
笑顔 (えがお): smiling face
笑い (わらい): laugh
苦笑 (くしょう): bitter smile
笑う (わらう): to laugh"
二,two,"二 (アル): two
二つ (ふたつ): two
二度と (にどと): never again
二月 (ふたつき): two months
二酸化炭素 (にさんかたんそ): carbon dioxide"
丿,diagonal sweeping stroke,
冂,to enclose,
月,month,"ヶ月 (かげつ): months (period of)
今月 (こんげつ): this month
３月 (さんがつ): March
９月 (くがつ): September
４月 (しがつ): April"
八,eight,"八 (パー): eight
八王子 (はちおうじ): Hachiōji (city)
八百屋 (やおや): greengrocer
四苦八苦 (しくはっく): being in dire distress
八つ (やっつ): eight"
木,tree,"木 (もく): wood (first of the five elements)
木曜日 (もくようび): Thursday
木々 (きぎ): (many) trees
木曜 (もくよう): Thursday
青木 (あおき): Japanese laurel"
本,book,"日本 (にほん): Japan
本 (ほん): book
本当に (ほんとうに): really
基本 (きほん): basics
日本人 (にほんじん): Japanese person"
凵,container,
山,mountain,"登山 (とざん): mountain climbing
富士山 (ふじさん): Mount Fuji
山形 (やまがた): mountain-shape
山下 (さんか): foot of a mountain
青山 (せいざん): lush mountain"
出,exit,"出 (しゅつ): coming out
出来 (でき): workmanship
出し (だし): pretext
出る (でる): to leave
出す (だす): to take out"
土,soil,"土地 (とち): plot of land
土曜日 (どようび): Saturday
土産 (どさん): product of the land
土日 (どにち): weekend
土曜 (どよう): Saturday"
丶,dot,
寸,measurement,"寸前 (すんぜん): just before
寸法 (すんぽう): measurement
寸 (すん): sun (approx. 3.03 cm)
寸劇 (すんげき): short play
採寸 (さいすん): taking measurements"
寺,Buddhist temple,"寺 (じ): counter for temples
お寺 (おてら): temple
寺院 (じいん): Buddhist temple
寺社 (じしゃ): temples and shrines
国分寺 (こくぶんじ): state-supported provincial temple (Nara period)"
時,time,"時 (どき): time for ...
時間 (じかん): time
時代 (じだい): period
当時 (とうじ): at that time
時期 (じき): time"
中,middle,"中 (チュン): winning hand with a pung (or kong) of red dragon tiles
中国 (ちゅうごく): China
途中 (とちゅう): on the way
中心 (ちゅうしん): center
集中 (しゅうちゅう): concentration"
彳,step,
行,go,"行く (いく): to go
行き (いき): the way there
行動 (こうどう): action
行う (おこなう): to perform
実行 (じっこう): execution (e.g. of a plan)"
目,eye,"目 (もく): order
目的 (もくてき): purpose
目標 (もくひょう): mark
注目 (ちゅうもく): notice
項目 (こうもく): item"
儿,human legs,
見,see,"見 (けん): view (of life, etc.)
見る (みる): to see
見える (まみえる): to have an audience
意見 (いけん): opinion
発見 (はっけん): discovery"
今,now,"今 (こん): the current ...
今日 (きょう): today
今回 (こんかい): now
今年 (ことし): this year
今後 (こんご): from now on"
刀,sword,"刀 (かたな): (single-edged) sword
太刀打ち (たちうち): crossing swords
太刀 (たち): long sword
単刀直入 (たんとうちょくにゅう): straight to the point
執刀 (しっとう): performing a surgical operation"
分,part,"自分 (じぶん): myself
分 (ぶん): part
部分 (ぶぶん): portion
気分 (きぶん): feeling
十分 (じゅうぶん): enough"
厶,private,
云,say,云々 (うんぬん): and so on
会,association,"会 (かい): meeting
会社 (かいしゃ): company
社会 (しゃかい): society
機会 (きかい): chance
会場 (かいじょう): assembly hall"
卜,oracle,卜 (ぼく): choosing
